"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"L059",53.6928794742977,0.92726756612303,0.034352952113362,0.997739149491738,0.00113106490804382,TRUE,"DTF","Average stability"
"L060",50.1531141994416,1.14107205082453,1.84480093075905,0.925619867298592,0.0379085972223889,TRUE,"DTF","Average stability"
"L061",53.2832737695315,1.02985422598194,0.0224130276887888,0.998802901958307,0.000598728258610542,TRUE,"DTF","Average stability"
"L062",52.3500935070231,1.2250155421465,0.114104524431264,0.995706101795799,0.00214925875870657,TRUE,"DTF","Responsive / high-input adapted"
"L063",51.3005473013737,1.13073948222221,0.174080381216861,0.992337245431505,0.00383874526685944,TRUE,"DTF","Average stability"
"L064",51.6602332266814,1.16782605008912,0.115141484379257,0.995234572474423,0.00238555920915871,TRUE,"DTF","Average stability"
"L065",52.1574118671878,1.00965514641376,0.0286471294827414,0.998408728583664,0.000795952478341706,TRUE,"DTF","Average stability"
"L066",53.4693084198046,1.05216263147057,0.381474935045106,0.980831177697345,0.00963078718220177,TRUE,"DTF","Average stability"
"L067",51.1052733985187,1.00589898525503,0.330961630500961,0.981786769216732,0.00914846257538065,TRUE,"DTF","Average stability"
"L068",55.3552640644601,0.792284725842547,1.26086780803519,0.897728862546647,0.052514452592206,TRUE,"DTF","Stable / low-input adapted"
"L069",52.113042148255,0.854624862988063,0.095635185279307,0.992628526357505,0.00369255429987639,TRUE,"DTF","Average stability"
"L070",50.7936638153927,0.777555209396211,0.482759279686226,0.956675484661142,0.0219021088555901,TRUE,"DTF","Stable / low-input adapted"
"L071",55.1246651231292,0.893118032779871,0.770929175627574,0.948033739379356,0.026329758398997,TRUE,"DTF","Average stability"
"L072",50.2194644957473,1.04684995743104,1.25361658590135,0.939074802504552,0.0309412801565882,TRUE,"DTF","Average stability"
"L073",49.9030600449687,1.04328441695084,2.32365806171735,0.891998051150582,0.0555435154806857,TRUE,"DTF","Average stability"
"L074",49.829316410909,1.10082040319255,2.34946722108595,0.900932827213609,0.0508251861676854,TRUE,"DTF","Average stability"
"L075",50.3617454767349,1.11982294900653,0.957275771880877,0.958501532388903,0.0209690850698826,TRUE,"DTF","Average stability"
"L076",50.20340628076,1.11130224354832,1.95737343236017,0.917523989847241,0.0421252744501291,TRUE,"DTF","Average stability"
"L077",50.7054467488176,0.838597572316061,0.474698920990083,0.963128060123015,0.0186091196047242,TRUE,"DTF","Average stability"
"L078",51.7758691116551,0.881838391927591,0.0102020252152336,0.999256490924864,0.000371823663986661,TRUE,"DTF","Average stability"
"L079",52.6466786650224,1.04311019506129,0.378855469634835,0.980634826060919,0.00972992266709417,TRUE,"DTF","Average stability"
"L080",50.9908600930268,1.11064934659375,1.15286731072044,0.949662065358027,0.0254939377520388,TRUE,"DTF","Average stability"
"L081",52.3180282146773,0.812511586419189,0.237691589385813,0.979988638473645,0.010056244792844,TRUE,"DTF","Average stability"
"L082",50.6236635073577,1.19274385982931,0.145284675670751,0.994241383290147,0.00288346554169145,TRUE,"DTF","Average stability"
"L083",51.7535676297957,1.02358814995112,0.0481490052797611,0.997400395591717,0.00130064804681213,TRUE,"DTF","Average stability"
"L084",52.5681540070694,1.00499112005529,0.240551177103434,0.986672249337448,0.00668622815474472,TRUE,"DTF","Average stability"
"L085",51.2094372085412,1.04604544053779,0.00479467606825233,0.999751543043599,0.000124236195516443,TRUE,"DTF","Average stability"
"L086",52.3664876477642,0.999034868855115,0.142670734254161,0.991957931539792,0.00402915126004232,TRUE,"DTF","Average stability"
"L087",51.2815182233005,0.998716504803467,0.0200647920780162,0.998860390897518,0.000569966982421652,TRUE,"DTF","Average stability"
"L088",50.1035608517622,1.13521498559548,1.74897312946512,0.928530004239412,0.0363973826107509,TRUE,"DTF","Average stability"
"L089",52.5364165982906,0.88818587485743,0.247232062596202,0.982535892333652,0.00877051479808587,TRUE,"DTF","Average stability"
"L090",51.7107139533488,1.14561464262483,0.789255112982487,0.967018090253371,0.0166292203581747,TRUE,"DTF","Average stability"
"L091",51.1223219743577,1.03079778743164,0.0943290987273442,0.994990222352306,0.00250803394097176,TRUE,"DTF","Average stability"
"L092",51.120886491163,1.00287728732961,0.248866199395657,0.986160549173687,0.00694383382726675,TRUE,"DTF","Average stability"
"L093",54.0047659143515,0.908975019633555,0.285921503279957,0.980751242667157,0.00967114418130959,TRUE,"DTF","Average stability"
"L094",54.6147305278676,0.938066467125136,0.171059493897724,0.989095168777868,0.0054673616326773,TRUE,"DTF","Average stability"
"L095",52.2307176016449,0.943463222051798,0.179009574646681,0.988722787555229,0.0056545934358479,TRUE,"DTF","Average stability"
"L096",52.5033607670652,1.01671214034274,0.101138190332279,0.994481553965552,0.00276304021283269,TRUE,"DTF","Average stability"
"L097",52.6074077431665,0.859193995459908,0.223650838799139,0.98310765086928,0.00848214798255922,TRUE,"DTF","Average stability"
"L098",52.9704354501739,0.987975651570306,0.0453560155091988,0.997371546524471,0.00131509147055239,TRUE,"DTF","Average stability"
"L099",51.634764080061,1.09659274199971,0.160346894182899,0.992494170569896,0.00375998345283502,TRUE,"DTF","Average stability"
"L100",52.1191489776464,1.05793166299511,0.0627965986624258,0.996827935578884,0.00158729195843865,TRUE,"DTF","Average stability"
