"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"L047",13.7324518014003,0.999492446999536,0.00804637870628066,0.99885849984765,0.000570913047028496,TRUE,"DTE","Average stability"
"L048",13.8243967227515,0.992270002274952,0.00199976975113076,0.999711911643783,0.000144054553965614,TRUE,"DTE","Average stability"
"L049",13.8152772124649,1.01008848780697,0.00295977406146036,0.999588574156056,0.000205734085229132,TRUE,"DTE","Average stability"
"L050",13.7844945062593,1.01477310931732,0.00471532261719047,0.999350734963884,0.000324685228306664,TRUE,"DTE","Average stability"
"L051",13.7918723984456,1.03585032729837,0.00363116405255225,0.999520074369163,0.000239991613405888,TRUE,"DTE","Average stability"
"L052",13.8495194970417,0.977411250824529,0.00315314640222198,0.999531923642093,0.000234065572299388,TRUE,"DTE","Average stability"
"L053",13.7005073417919,1.03872084107209,0.00270453877999847,0.99964447375987,0.000177778922737852,TRUE,"DTE","Average stability"
"L054",13.7617389924461,1.0572085819683,0.0080236548931529,0.998982488503509,0.000508885230334173,TRUE,"DTE","Average stability"
"L055",13.703406097559,1.0735945082331,0.0339655638948297,0.995836325229209,0.00208400893200985,TRUE,"DTE","Average stability"
"L056",13.7475918968389,1.05202215364969,0.0234525837021946,0.997002441179305,0.00149990426675242,TRUE,"DTE","Average stability"
"L057",13.8701714911341,0.932253249300417,0.0836486079336996,0.986528036212381,0.00675882273619933,TRUE,"DTE","Average stability"
"L058",13.6831154617632,1.00340249643475,0.243696345998151,0.9667979460878,0.0167411601781555,TRUE,"DTE","Average stability"
"L059",13.7464825176241,0.977473338808918,0.105303367334311,0.984603417791351,0.00772815328089125,TRUE,"DTE","Average stability"
"L060",13.882086924419,0.957996910971594,0.0230521748533779,0.996448847970584,0.00177715515493035,TRUE,"DTE","Average stability"
"L061",13.8457481671851,0.975030449609696,0.0101942769836137,0.998480885895877,0.000759845734831877,TRUE,"DTE","Average stability"
"L062",13.7803787543567,0.9807514663136,0.00259741889161871,0.999617009264619,0.000191513706440246,TRUE,"DTE","Average stability"
"L063",13.7719968083692,1.00759253328123,0.000207257796274443,0.999971035970289,1.44821197211224e-05,TRUE,"DTE","Average stability"
"L064",13.818371687162,0.999743570435944,0.000681369470639636,0.999903284964697,4.83586869329994e-05,TRUE,"DTE","Average stability"
"L065",13.7566053142895,1.04734810539093,0.0107178736147889,0.998615619568896,0.000692429945166548,TRUE,"DTE","Average stability"
"L066",13.7996465953614,0.960999456391108,0.012442565483213,0.998092059530803,0.000954425698805715,TRUE,"DTE","Average stability"
"L067",13.8698766973738,0.948076038412165,0.00800912348386446,0.998737357184593,0.000631520816974587,TRUE,"DTE","Average stability"
"L068",13.9136404029138,0.94116282793645,0.00472170032638474,0.999244262244149,0.000377940297359642,TRUE,"DTE","Average stability"
"L069",13.8418313618616,0.961338230010107,0.00833302033403486,0.998722310473775,0.000639048954895809,TRUE,"DTE","Average stability"
"L070",13.7657296336513,1.00142080950531,0.00560339514792972,0.999207855458069,0.000396150738669186,TRUE,"DTE","Average stability"
"L071",13.7690439628753,1.00904104713247,0.000341324192052913,0.999952438086796,2.37812393758435e-05,TRUE,"DTE","Average stability"
"L072",13.8290227205551,0.988493907318889,6.51449882334974e-05,0.999990540689605,4.72966638218397e-06,TRUE,"DTE","Average stability"
"L073",13.7927091364883,1.00317104059522,0.00250521383976442,0.999646920884328,0.000176555143695179,TRUE,"DTE","Average stability"
"L074",13.9117849402639,0.925419188059069,0.00765544264990439,0.998733301062098,0.000633550161854997,TRUE,"DTE","Average stability"
"L075",13.7400566710571,1.08086815641327,0.0298235332092285,0.996391106552951,0.00180607768182077,TRUE,"DTE","Average stability"
"L076",13.752565789558,1.0190480702693,0.000185250030486351,0.999974690211116,1.26549745160186e-05,TRUE,"DTE","Average stability"
"L077",13.7967937553329,1.01665917890541,0.00351918938213174,0.999517149500538,0.000241454399844708,TRUE,"DTE","Average stability"
"L078",13.7649210480804,1.02392426825987,0.000589209709478573,0.999920268458251,3.98665655462378e-05,TRUE,"DTE","Average stability"
"L079",13.6998877772554,1.08328421749778,0.0270489529646598,0.996740295655718,0.00163118255039731,TRUE,"DTE","Average stability"
"L080",13.8292907623417,1.00058054437269,0.0033137876547884,0.999530595522073,0.000234729788000447,TRUE,"DTE","Average stability"
"L081",13.7951203336411,1.00921191667344,0.00302125865292073,0.999579301474243,0.000210371390939536,TRUE,"DTE","Average stability"
"L082",13.6994458333049,1.09489810273608,0.0349298381432156,0.995882932148567,0.00206065707951611,TRUE,"DTE","Average stability"
"L083",13.8377145518231,0.949619276935623,0.00248086300027092,0.999609820165421,0.000195108951040918,TRUE,"DTE","Average stability"
"L084",13.7824632899299,1.01223121037418,0.000892027103422438,0.999876491875025,6.17559693875039e-05,TRUE,"DTE","Average stability"
"L085",13.7617061705203,1.02505657567737,0.00612377857622444,0.999173780568665,0.000413195080754629,TRUE,"DTE","Average stability"
"L086",13.7628655593528,1.02362079633604,0.000723105777862487,0.999902093465972,4.89544652836663e-05,TRUE,"DTE","Average stability"
"L087",13.7814836679323,1.00286992520518,0.000490261276939192,0.999930842559857,3.45793179363726e-05,TRUE,"DTE","Average stability"
"L088",13.813412182743,0.985426686327485,0.00114181201451801,0.999833196910357,8.34050230204656e-05,TRUE,"DTE","Average stability"
"L089",13.7308089542007,1.01935070897943,0.00437690236958175,0.999402702511511,0.000298693353104337,TRUE,"DTE","Average stability"
"L090",13.7832995401003,1.0197750109123,0.0117397826802091,0.998400858696495,0.000799890564210004,TRUE,"DTE","Average stability"
"L091",13.9094632593322,0.97076407581035,0.00405525529950666,0.99938982234663,0.000305135380485371,TRUE,"DTE","Average stability"
"L092",13.7261587868497,1.04304981071183,0.00516703436039785,0.999326605955917,0.000336753723576837,TRUE,"DTE","Average stability"
"L093",13.8788695251703,0.943154647624142,0.00372070698446243,0.999406893668398,0.000296597150735973,TRUE,"DTE","Average stability"
"L094",13.8912151170615,0.990175946234882,0.0026799724799877,0.999612325030974,0.000193856274640737,TRUE,"DTE","Average stability"
"L095",13.7771253214513,0.98228895688831,0.0106173854383364,0.998441193817538,0.00077970706278282,TRUE,"DTE","Average stability"
"L096",13.7247073963236,1.05276659881165,0.0117709852525815,0.998495385472099,0.000752590460151078,TRUE,"DTE","Average stability"
"L097",13.7699752336807,0.996660826607577,0.00801629330183486,0.99885629925917,0.000572013970406008,TRUE,"DTE","Average stability"
"L098",13.7772153577575,1.0169547171649,0.00198674935462513,0.999727509063664,0.000136254750846774,TRUE,"DTE","Average stability"
"L099",13.7893547721111,0.994097399253487,0.00286495518755499,0.99958883898948,0.000205601641277394,TRUE,"DTE","Average stability"
"L100",13.9048832878224,0.961928458029953,0.0186177025477647,0.997153356610513,0.00142433606135153,TRUE,"DTE","Average stability"
