"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"L007",NA,46,NA,46,7.39345841476574,63,0.0512934457649572,63,NA,46,0.4006863942748,41,98.283434792244,52,NA,11,97.7586137252994,67,57.7439835154425,41,-1.62536203958139,2685.55035333387,85,0.997540560975943,35,0.131480326799951,42,0.132390507954248,46,0.422563077098066,46,1.78070609567297,40,1.09685975139447,41,0.124230206204714,46,0.00514438137788859,46,1.20310131422913,41,0.138969190478843,45,0.506823036786545,40,0.583700503621159,47,0.0633790853913465,45,0.198625485964246,44,0.183024469764049,56,87.0681049424239,66,0.998236236300081,56,0.998217538381172,56,9.69000000000002,60,6.125,43.5,11.4725,60,28.5333509842007,66,6.9167,98,515.2292,86,11.4086,20,0.8251,20,16.375,25,0.337628865979381,35,0.3128,21,0.0882,24
"L008",91.2375,14,7.8782084391998,24,7.85597856876562,79,0.103998756831012,79,154.996875,26,0.588793593727734,55,99.5686430509557,26,NA,12,99.0187200546523,47,84.3105079920323,55,4.13936671350606,-1331.14505134348,33,0.987233533503469,78,0.259523868671024,69,0.0621011632146717,19,0.198272131189209,19,2.34852650610062,60,1.34391631664041,57,0.19456047449134,77,0.0126179260780984,77,1.80611106613233,57,0.103833210489546,31,0.554050687658915,46,0.69917152735946,62,0.0590738740492277,40,0.16972900185953,35,0.128530781086782,36,90.5628768513441,21,1.00821278570238,33,1.00813240753331,33,3.95187500000001,25,4.20500000000002,34.5,5.55125,33,91.0220492436339,15,0.6667,15.5,184.9167,30.5,25.4223,43,1.0199,35,24.75,78.5,0.942857142857143,90,1.1204,94,0.4112,93
"L009",89.2125,39,9.03868863698364,40,9.03180537623782,102,0.225147317857576,102,195.066875,40,2.23645635439625,97,96.8849117553106,82,NA,13,97.8318689046984,66,317.011187114139,97,4.18640314829769,-1343.30177591615,34,0.99381628275445,62,0.759541796211516,97,0.299242849706044,94,0.955780986408741,94,4.60388883458102,97,2.66021931962951,98,0.286579574441781,96,0.0273759508290774,96,7.07676682853011,98,0.299486985121521,93,1.57714829177025,99,1.18885459009477,96,0.135671472005409,97,0.423926520800366,95,0.030571920022299,1,88.499711190478,48,0.985786837264743,76,0.985769076229718,76,12.27,70,14.58,81,17,81,88.940257248687,39,5.1667,81,264.9167,40,1.7679,2,0.4498,10,24.25,75,0.30030959752322,31,0.6451,59,0.2446,71
"L010",90.8875,22,7.18552561977204,14,7.16778308227031,56,0.0243678845003697,56,127.951875,14,0.339233172922987,37,99.3298052585912,27,NA,14,100.112437684796,31,49.0648977922211,37,4.04626652355066,-1282.02228010452,13,0.999093571058024,20,0.10380480598878,31,0.135132254629559,47,0.431347710122406,47,1.69437428584055,35,1.02005615592475,37,0.10424818251765,29,0.00362256118607775,29,1.04051456123997,37,0.137424729676306,42,0.509309482145471,41,0.540231181788438,40,0.0624262096016325,43,0.198274043681045,43,0.176062955830574,50,90.4270757040976,24,1.00656510477104,40,1.00652172235303,40,4.32062500000001,29,6.84500000000001,48.5,4.65625000000001,27,90.7114883076376,21,2,37.5,66.25,8,30.1058,48,1.1626,43,21.75,51.5,0.66412213740458,75,0.8765,81,0.3695,90
"L011",NA,47,NA,47,5.77298375908104,12,-0.163601151773607,12,NA,47,0.219870417859326,25,103.169588615323,1,NA,15,103.184348399866,3,32.2072040770732,25,-1.80661606213677,2906.14949278735,104,0.995090601929464,52,0.104022046993912,32,0.0741112259028852,26,0.236643245043208,26,1.75192214412654,37,0.898669367333651,27,0.117972245933397,39,0.00463915027018997,39,0.807606631783864,27,0.0864572719888421,22,0.426977674283236,28,0.524931837629035,35,0.0499259782855043,29,0.149144911497296,29,0.153733300752065,46,91.2134878491147,13,1.04528983321631,1,1.0452641454781,1,0.000416666666666619,1,0.00124999999999986,2,0,1,29.5841696204469,43,3.0833,58.5,378.0625,66,26.9162,44,0.9497,28,10.875,4,7.25,104,1.1272,95,0.098,34
"L012",NA,48,NA,48,5.54802927470713,6,-0.198124335198177,6,NA,48,0.359130915772984,38,101.241111032927,4,NA,16,102.342920136855,11,51.87507132088,38,-1.78923898584268,2800.32939524422,101,0.999946306651867,5,0.106315930344679,33,0.14653748001489,51,0.467770217269634,51,1.65635899776324,34,1.05969776996144,40,0.101448485913236,26,0.0034305984313627,26,1.12295936366124,40,0.146988453765577,48,0.550125784986402,45,0.511590798549741,33,0.0631662392270949,44,0.203642661317375,47,0.183459098206004,57,89.7034979114008,35,1.02795943840956,6,1.02793268145412,6,1.37250000000001,7,2.31125000000001,16,0.903125000000014,6,29.2016263485116,45,0.6667,15.5,475.2292,80,19.3508,31,0.8311,21,15.125,20,1.12037037037037,95,0.8177,77,0.0404,6
"L013",91.1,18,8.03607091673706,28,8.01450699737497,85,0.121351801627148,85,160.785,28,1.25945219024047,81,98.5564364796768,44,NA,17,98.8017982435105,52,179.028137468747,81,4.14149391826833,-1329.69899436214,31,0.965815548612899,100,0.375485775998208,81,0.234473941431586,78,0.748566283695933,78,3.4556257141595,87,1.89719411209041,80,0.202024705128423,80,0.0136046604940754,80,3.59934549895054,80,0.238982930435311,78,0.996721390067757,85,1.04798680094357,86,0.117377520332969,87,0.368431057487105,87,0.30076656717952,90,90.8064903374577,17,1.01125321022922,25,1.01120628597241,25,4.24781250000002,28,1.05125,6.5,6.97000000000003,41,90.8750488999715,20,5.3333,86,344.25,60,71.3577,83,1.8699,74,21.75,51.5,0.790909090909091,85,0.929,86,0.1786,57
"L014",NA,49,NA,49,6.65151226161753,41,-0.0405610311827404,41,NA,49,0.046235271668638,5,98.8399092355667,36,NA,18,98.6719397909337,59,7.6845788150669,5,-1.66329075027701,2641.98467968897,77,0.997631813224299,31,0.0244129376474772,7,0.00571236910281828,2,0.0182320309812897,2,0.677696998160025,2,0.403883727971803,2,0.0604927956700996,10,0.00121979277599481,10,0.163122065720401,2,0.0272558013695415,2,0.156924752078628,2,0.1681165490783,2,0.0121314812275526,2,0.0327319603390837,1,0.0333923101531494,3,86.7337944023853,71,0.994210768245366,63,0.994208120332534,63,11.0270833333333,67,10.35125,65,11.365,59,28.4468549584763,71,3.8333,67.5,213.3958,36,2.0337,3,0.427,8,7.125,1,0.118257261410788,1,0.1692,1,0.0454,8
"L015",88.7125,42,8.66414018332232,37,8.66201757675677,98,0.188836298103664,98,177.231875,36,2.01028640885937,96,96.2543091014686,88,NA,19,96.0432149196432,92,285.069031729082,96,4.11395560030001,-1302.78752433959,22,0.983233403663774,86,0.742655324481832,96,0.238297430626528,79,0.761317386340005,79,4.64852650610065,98,2.51135993593059,96,0.298231416891354,98,0.0296473260070082,98,6.30692872779732,96,0.24855450006741,82,1.4476193998071,97,1.23365818204973,98,0.116074712836112,86,0.341088732893167,81,0.180240467712291,55,88.2854927819538,49,0.983571118898705,82,0.983499353737046,82,14.463125,78,21.45125,100,17.200625,82,88.4624193328068,42,5.6667,89,333.5833,58,35.9211,54,2.3158,86,31.25,102,0.416666666666667,49,0.5532,52,0.227,69
"L016",89.2625,38,8.23056774397891,31,8.22387617942463,89,0.143751302519691,89,161.926875,29,0.667279157896571,62,98.1557951350796,54,NA,20,98.2844028734666,63,95.3950845931011,62,4.09574561467835,-1298.15085865447,20,0.997221929856802,37,0.252163173664467,67,0.153423517537565,56,0.490149003630098,56,2.50388883458103,65,1.4968546954306,66,0.169093293047438,67,0.00953084725120887,67,2.24057397923263,66,0.155189754778209,55,0.896244789884194,74,0.678358493300704,59,0.068488738200888,50,0.205659647600134,48,0.0714854523131518,14,88.5181499111903,47,0.985503415492514,78,0.985486754976518,78,10.928125,65,13.78125,77,13.965625,74,89.0361440345741,38,3.6667,64,118.6667,21,13.2561,23,1.1415,40,23.5,69,0.323024054982818,34,0.559,53,0.2192,64
