"genotype","BLUP","env","trait","model"
"L030",56.1070679116111,"Clavet.2024","DTF","GIBD"
"L031",51.9243684620212,"Clavet.2024","DTF","GIBD"
"L032",53.1952569215745,"Clavet.2024","DTF","GIBD"
"L033",53.9447473952408,"Clavet.2024","DTF","GIBD"
"L034",52.6050346999598,"Clavet.2024","DTF","GIBD"
"L035",52.2158033440055,"Clavet.2024","DTF","GIBD"
"L036",53.149607582448,"Clavet.2024","DTF","GIBD"
"L037",54.5824644442691,"Clavet.2024","DTF","GIBD"
"L038",54.346246056268,"Clavet.2024","DTF","GIBD"
"L039",51.7306815610612,"Clavet.2024","DTF","GIBD"
"L040",53.9027945703594,"Clavet.2024","DTF","GIBD"
"L041",53.4649487410024,"Clavet.2024","DTF","GIBD"
"L042",53.791702525905,"Clavet.2024","DTF","GIBD"
"L043",53.451869272435,"Clavet.2024","DTF","GIBD"
"L044",55.4656824946019,"Clavet.2024","DTF","GIBD"
"L045",53.0071277085584,"Clavet.2024","DTF","GIBD"
"L046",53.506108641453,"Clavet.2024","DTF","GIBD"
"L047",52.0934461494079,"Clavet.2024","DTF","GIBD"
"L048",52.7086938392692,"Clavet.2024","DTF","GIBD"
"L049",55.3831390254086,"Clavet.2024","DTF","GIBD"
"L050",52.0272040504153,"Clavet.2024","DTF","GIBD"
"L051",52.9482253117744,"Clavet.2024","DTF","GIBD"
"L052",54.3924079441944,"Clavet.2024","DTF","GIBD"
"L053",52.89366034298,"Clavet.2024","DTF","GIBD"
"L054",53.8448159151023,"Clavet.2024","DTF","GIBD"
"L055",52.7508476699382,"Clavet.2024","DTF","GIBD"
"L056",53.23824989806,"Clavet.2024","DTF","GIBD"
"L057",53.695755312166,"Clavet.2024","DTF","GIBD"
"L058",55.3161971135152,"Clavet.2024","DTF","GIBD"
"L059",54.1862526213171,"Clavet.2024","DTF","GIBD"
"L060",52.1289292880704,"Clavet.2024","DTF","GIBD"
"L061",53.9411385644195,"Clavet.2024","DTF","GIBD"
"L062",53.0010847379082,"Clavet.2024","DTF","GIBD"
"L063",52.3577217490602,"Clavet.2024","DTF","GIBD"
"L064",52.408270174338,"Clavet.2024","DTF","GIBD"
"L065",52.9658935965482,"Clavet.2024","DTF","GIBD"
"L066",54.5855671350598,"Clavet.2024","DTF","GIBD"
"L067",52.4635242947663,"Clavet.2024","DTF","GIBD"
"L068",55.3046051445313,"Clavet.2024","DTF","GIBD"
"L069",52.9578415962766,"Clavet.2024","DTF","GIBD"
"L070",52.121040416112,"Clavet.2024","DTF","GIBD"
"L071",54.6314482075008,"Clavet.2024","DTF","GIBD"
"L072",51.976338647247,"Clavet.2024","DTF","GIBD"
"L073",52.5171677585947,"Clavet.2024","DTF","GIBD"
"L074",52.1668227152802,"Clavet.2024","DTF","GIBD"
"L075",52.1712270292137,"Clavet.2024","DTF","GIBD"
"L076",51.9113490451801,"Clavet.2024","DTF","GIBD"
"L077",52.1609206923917,"Clavet.2024","DTF","GIBD"
"L078",52.3749826734653,"Clavet.2024","DTF","GIBD"
"L079",52.8961952412497,"Clavet.2024","DTF","GIBD"
"L080",52.862355556558,"Clavet.2024","DTF","GIBD"
"L081",53.0025812786801,"Clavet.2024","DTF","GIBD"
"L082",51.8743138606965,"Clavet.2024","DTF","GIBD"
"L083",52.3853690254977,"Clavet.2024","DTF","GIBD"
"L084",52.9130292785843,"Clavet.2024","DTF","GIBD"
"L085",51.9283181955866,"Clavet.2024","DTF","GIBD"
"L086",53.0096110403203,"Clavet.2024","DTF","GIBD"
"L087",51.8314691688988,"Clavet.2024","DTF","GIBD"
"L088",52.3096617345993,"Clavet.2024","DTF","GIBD"
"L089",53.2949056759908,"Clavet.2024","DTF","GIBD"
"L090",53.0625049543037,"Clavet.2024","DTF","GIBD"
"L091",52.1855481978924,"Clavet.2024","DTF","GIBD"
"L092",51.9128947639548,"Clavet.2024","DTF","GIBD"
"L093",54.1503950060958,"Clavet.2024","DTF","GIBD"
"L094",54.8802553496955,"Clavet.2024","DTF","GIBD"
"L095",53.0066906447056,"Clavet.2024","DTF","GIBD"
"L096",52.859950892778,"Clavet.2024","DTF","GIBD"
"L097",53.0988362872581,"Clavet.2024","DTF","GIBD"
"L098",53.5913625411869,"Clavet.2024","DTF","GIBD"
"L099",52.0264024696285,"Clavet.2024","DTF","GIBD"
"L100",52.6546693983312,"Clavet.2024","DTF","GIBD"
"CL1",45.3466077191172,"Hunter.2024","DTF","GIBD"
"CL2",47.3369459276476,"Hunter.2024","DTF","GIBD"
"CL3",48.531532673394,"Hunter.2024","DTF","GIBD"
"Extra",45.4011087574953,"Hunter.2024","DTF","GIBD"
"L001",50.6205546578485,"Hunter.2024","DTF","GIBD"
"L002",47.1752700887153,"Hunter.2024","DTF","GIBD"
"L003",45.1286052981689,"Hunter.2024","DTF","GIBD"
"L004",45.2833828355754,"Hunter.2024","DTF","GIBD"
"L005",46.0362087273818,"Hunter.2024","DTF","GIBD"
"L006",49.8792359634096,"Hunter.2024","DTF","GIBD"
"L007",49.3540221041162,"Hunter.2024","DTF","GIBD"
"L008",45.7097888591631,"Hunter.2024","DTF","GIBD"
"L009",45.9556659102268,"Hunter.2024","DTF","GIBD"
"L010",50.2695462334924,"Hunter.2024","DTF","GIBD"
"L011",50.2298596893564,"Hunter.2024","DTF","GIBD"
"L012",50.7037101605614,"Hunter.2024","DTF","GIBD"
"L013",46.1487977793151,"Hunter.2024","DTF","GIBD"
"L014",47.6937347037736,"Hunter.2024","DTF","GIBD"
"L015",44.9243811292616,"Hunter.2024","DTF","GIBD"
"L016",46.0598325554723,"Hunter.2024","DTF","GIBD"
"L017",45.6312091590639,"Hunter.2024","DTF","GIBD"
"L018",46.5080531828506,"Hunter.2024","DTF","GIBD"
"L019",48.39690397844,"Hunter.2024","DTF","GIBD"
"L020",49.058192131666,"Hunter.2024","DTF","GIBD"
"L021",47.1744082794853,"Hunter.2024","DTF","GIBD"
"L022",48.94018509817,"Hunter.2024","DTF","GIBD"
"L023",46.9831129441036,"Hunter.2024","DTF","GIBD"
"L024",48.126776534799,"Hunter.2024","DTF","GIBD"
"L025",47.2847646425888,"Hunter.2024","DTF","GIBD"
"L026",49.6655608893086,"Hunter.2024","DTF","GIBD"
"L027",46.3572968803498,"Hunter.2024","DTF","GIBD"
"L028",46.9365739125515,"Hunter.2024","DTF","GIBD"
"L029",47.969570740972,"Hunter.2024","DTF","GIBD"
"L030",49.6981542303142,"Hunter.2024","DTF","GIBD"
"L031",44.0099825175073,"Hunter.2024","DTF","GIBD"
"L032",46.7531013321918,"Hunter.2024","DTF","GIBD"
"L033",48.291468334683,"Hunter.2024","DTF","GIBD"
"L034",45.7512344521375,"Hunter.2024","DTF","GIBD"
"L035",46.0547402956383,"Hunter.2024","DTF","GIBD"
"L036",46.6189407552353,"Hunter.2024","DTF","GIBD"
"L037",49.80286090786,"Hunter.2024","DTF","GIBD"
"L038",47.7868109651797,"Hunter.2024","DTF","GIBD"
"L039",44.1217132559594,"Hunter.2024","DTF","GIBD"
"L040",47.3516512397876,"Hunter.2024","DTF","GIBD"
"L041",47.1918481702267,"Hunter.2024","DTF","GIBD"
"L042",48.4353865137623,"Hunter.2024","DTF","GIBD"
"L043",46.4691349297916,"Hunter.2024","DTF","GIBD"
"L044",49.7550576440212,"Hunter.2024","DTF","GIBD"
"L045",45.7924385840362,"Hunter.2024","DTF","GIBD"
"L046",46.9621950361436,"Hunter.2024","DTF","GIBD"
"L047",46.0058179943449,"Hunter.2024","DTF","GIBD"
"L048",46.320048261813,"Hunter.2024","DTF","GIBD"
"L049",49.2978407977242,"Hunter.2024","DTF","GIBD"
"L050",44.2460460066175,"Hunter.2024","DTF","GIBD"
"L051",46.6170145193554,"Hunter.2024","DTF","GIBD"
"L052",48.1684488976706,"Hunter.2024","DTF","GIBD"
"L053",46.961154054321,"Hunter.2024","DTF","GIBD"
"L054",47.549242078583,"Hunter.2024","DTF","GIBD"
"L055",46.4357814695775,"Hunter.2024","DTF","GIBD"
"L056",46.4359455684804,"Hunter.2024","DTF","GIBD"
"L057",46.5169366930163,"Hunter.2024","DTF","GIBD"
"L058",50.1179180937602,"Hunter.2024","DTF","GIBD"
"L059",48.3790546069273,"Hunter.2024","DTF","GIBD"
"L060",43.3157569034932,"Hunter.2024","DTF","GIBD"
"L061",47.3881392640534,"Hunter.2024","DTF","GIBD"
"L062",45.4034887469277,"Hunter.2024","DTF","GIBD"
"L063",44.8014872707186,"Hunter.2024","DTF","GIBD"
"L064",45.0344649167037,"Hunter.2024","DTF","GIBD"
"L065",46.3176888234132,"Hunter.2024","DTF","GIBD"
"L066",47.309259424764,"Hunter.2024","DTF","GIBD"
"L067",45.2366414347704,"Hunter.2024","DTF","GIBD"
"L068",50.9425752829085,"Hunter.2024","DTF","GIBD"
"L069",47.0377461588406,"Hunter.2024","DTF","GIBD"
"L070",46.0438526602064,"Hunter.2024","DTF","GIBD"
"L071",49.9751313598507,"Hunter.2024","DTF","GIBD"
"L072",43.8174399197543,"Hunter.2024","DTF","GIBD"
"L073",43.4190292424121,"Hunter.2024","DTF","GIBD"
"L074",43.0640609797319,"Hunter.2024","DTF","GIBD"
"L075",43.7486277948235,"Hunter.2024","DTF","GIBD"
"L076",43.6024935918523,"Hunter.2024","DTF","GIBD"
"L077",45.6270393133243,"Hunter.2024","DTF","GIBD"
"L078",46.6142613776283,"Hunter.2024","DTF","GIBD"
"L079",46.8714187148213,"Hunter.2024","DTF","GIBD"
"L080",44.3517527259502,"Hunter.2024","DTF","GIBD"
"L081",47.666178264528,"Hunter.2024","DTF","GIBD"
"L082",43.7925170616988,"Hunter.2024","DTF","GIBD"
"L083",45.8342531856897,"Hunter.2024","DTF","GIBD"
"L084",46.7341944643418,"Hunter.2024","DTF","GIBD"
"L085",45.200960142955,"Hunter.2024","DTF","GIBD"
"L086",46.6993632945488,"Hunter.2024","DTF","GIBD"
"L087",45.5750542126325,"Hunter.2024","DTF","GIBD"
"L088",43.3534213238088,"Hunter.2024","DTF","GIBD"
"L089",47.4399497788868,"Hunter.2024","DTF","GIBD"
"L090",44.9691393729783,"Hunter.2024","DTF","GIBD"
"L091",45.2270886722069,"Hunter.2024","DTF","GIBD"
"L092",45.3087657682074,"Hunter.2024","DTF","GIBD"
"L093",48.744268680383,"Hunter.2024","DTF","GIBD"
"L094",49.2735498620495,"Hunter.2024","DTF","GIBD"
"L095",46.8331411600079,"Hunter.2024","DTF","GIBD"
"L096",46.7487736725975,"Hunter.2024","DTF","GIBD"
"L097",47.7117758610279,"Hunter.2024","DTF","GIBD"
"L098",47.3250281085116,"Hunter.2024","DTF","GIBD"
"L099",45.5576208481391,"Hunter.2024","DTF","GIBD"
"L100",46.2645752176311,"Hunter.2024","DTF","GIBD"
"CL1",53.4456633045812,"Clavet.2025","DTF","GIBD"
"CL2",55.9826425963271,"Clavet.2025","DTF","GIBD"
"CL3",55.8238148362367,"Clavet.2025","DTF","GIBD"
"Extra",54.2685424791569,"Clavet.2025","DTF","GIBD"
"L001",59.1750016802339,"Clavet.2025","DTF","GIBD"
"L002",55.0854520776002,"Clavet.2025","DTF","GIBD"
"L003",54.1849371661466,"Clavet.2025","DTF","GIBD"
"L004",54.1608126063687,"Clavet.2025","DTF","GIBD"
"L005",55.2113047955311,"Clavet.2025","DTF","GIBD"
"L006",58.1142895695483,"Clavet.2025","DTF","GIBD"
"L007",56.4972204408738,"Clavet.2025","DTF","GIBD"
"L008",54.8561253703909,"Clavet.2025","DTF","GIBD"
"L009",54.4548081781147,"Clavet.2025","DTF","GIBD"
"L010",56.3281213727794,"Clavet.2025","DTF","GIBD"
"L011",57.5263925792501,"Clavet.2025","DTF","GIBD"
"L012",58.3758791728619,"Clavet.2025","DTF","GIBD"
"L013",55.3153899984898,"Clavet.2025","DTF","GIBD"
"L014",56.7352908193259,"Clavet.2025","DTF","GIBD"
"L015",52.3364903798242,"Clavet.2025","DTF","GIBD"
"L016",54.8480733440848,"Clavet.2025","DTF","GIBD"
"L017",55.2591180704915,"Clavet.2025","DTF","GIBD"
"L018",54.856328555945,"Clavet.2025","DTF","GIBD"
"L019",55.9515365993689,"Clavet.2025","DTF","GIBD"
"L020",58.3323237800827,"Clavet.2025","DTF","GIBD"
"L021",54.5683092316676,"Clavet.2025","DTF","GIBD"
"L022",57.7937698577827,"Clavet.2025","DTF","GIBD"
"L023",55.3886297795293,"Clavet.2025","DTF","GIBD"
"L024",57.0890709538475,"Clavet.2025","DTF","GIBD"
"L025",56.0723637988967,"Clavet.2025","DTF","GIBD"
"L026",58.5479034916449,"Clavet.2025","DTF","GIBD"
"L027",54.5308987311482,"Clavet.2025","DTF","GIBD"
"L028",56.3156958438163,"Clavet.2025","DTF","GIBD"
"L029",55.4885443268026,"Clavet.2025","DTF","GIBD"
"L030",60.297108665798,"Clavet.2025","DTF","GIBD"
"L031",53.020935439339,"Clavet.2025","DTF","GIBD"
"L032",55.6429661536173,"Clavet.2025","DTF","GIBD"
"L033",56.1957744882566,"Clavet.2025","DTF","GIBD"
"L034",55.0794616529111,"Clavet.2025","DTF","GIBD"
"L035",54.6709175510341,"Clavet.2025","DTF","GIBD"
"L036",54.7817992589172,"Clavet.2025","DTF","GIBD"
"L037",58.2213948200046,"Clavet.2025","DTF","GIBD"
"L038",57.4573921463559,"Clavet.2025","DTF","GIBD"
"L039",52.5172323574278,"Clavet.2025","DTF","GIBD"
"L040",55.6365665520592,"Clavet.2025","DTF","GIBD"
"L041",55.5651533184089,"Clavet.2025","DTF","GIBD"
"L042",56.6741811321481,"Clavet.2025","DTF","GIBD"
"L043",54.6809692192921,"Clavet.2025","DTF","GIBD"
"L044",57.9075015350823,"Clavet.2025","DTF","GIBD"
"L045",54.7403064456302,"Clavet.2025","DTF","GIBD"
"L046",55.1416720510393,"Clavet.2025","DTF","GIBD"
"L047",54.6011731180235,"Clavet.2025","DTF","GIBD"
"L048",54.9043625807549,"Clavet.2025","DTF","GIBD"
"L049",57.4607669118749,"Clavet.2025","DTF","GIBD"
"L050",54.220116556627,"Clavet.2025","DTF","GIBD"
"L051",54.7522166173099,"Clavet.2025","DTF","GIBD"
"L052",56.0202858068129,"Clavet.2025","DTF","GIBD"
"L053",55.5030243503255,"Clavet.2025","DTF","GIBD"
"L054",54.7407577290446,"Clavet.2025","DTF","GIBD"
"L055",55.8025276932437,"Clavet.2025","DTF","GIBD"
"L056",55.6981923811655,"Clavet.2025","DTF","GIBD"
"L057",54.6385236251901,"Clavet.2025","DTF","GIBD"
"L058",57.7048359172032,"Clavet.2025","DTF","GIBD"
"L059",56.3736414885354,"Clavet.2025","DTF","GIBD"
"L060",51.8132550077876,"Clavet.2025","DTF","GIBD"
"L061",55.9275139530189,"Clavet.2025","DTF","GIBD"
"L062",55.7406323327988,"Clavet.2025","DTF","GIBD"
"L063",54.0072039741173,"Clavet.2025","DTF","GIBD"
"L064",54.6579264538112,"Clavet.2025","DTF","GIBD"
"L065",54.7081367348764,"Clavet.2025","DTF","GIBD"
"L066",55.4468562075834,"Clavet.2025","DTF","GIBD"
"L067",53.3222133994485,"Clavet.2025","DTF","GIBD"
"L068",58.6260844721435,"Clavet.2025","DTF","GIBD"
"L069",54.5928396377728,"Clavet.2025","DTF","GIBD"
"L070",52.523316570883,"Clavet.2025","DTF","GIBD"
"L071",58.055815008617,"Clavet.2025","DTF","GIBD"
"L072",51.8685506481464,"Clavet.2025","DTF","GIBD"
"L073",51.5696542341384,"Clavet.2025","DTF","GIBD"
"L074",51.3678754562901,"Clavet.2025","DTF","GIBD"
"L075",52.7386515927769,"Clavet.2025","DTF","GIBD"
"L076",51.9185354742419,"Clavet.2025","DTF","GIBD"
"L077",52.5685145364454,"Clavet.2025","DTF","GIBD"
"L078",54.1070541208512,"Clavet.2025","DTF","GIBD"
"L079",56.226743272228,"Clavet.2025","DTF","GIBD"
"L080",52.8117545152987,"Clavet.2025","DTF","GIBD"
"L081",54.8869673156779,"Clavet.2025","DTF","GIBD"
"L082",53.3807621197995,"Clavet.2025","DTF","GIBD"
"L083",54.44250677186,"Clavet.2025","DTF","GIBD"
"L084",54.8947552063754,"Clavet.2025","DTF","GIBD"
"L085",54.006521130767,"Clavet.2025","DTF","GIBD"
"L086",55.4620189962047,"Clavet.2025","DTF","GIBD"
"L087",53.8259760756551,"Clavet.2025","DTF","GIBD"
"L088",51.886331830695,"Clavet.2025","DTF","GIBD"
"L089",55.2538329885806,"Clavet.2025","DTF","GIBD"
"L090",53.6959255360732,"Clavet.2025","DTF","GIBD"
"L091",53.8293716448932,"Clavet.2025","DTF","GIBD"
"L092",54.4008193736564,"Clavet.2025","DTF","GIBD"
"L093",56.8819999231422,"Clavet.2025","DTF","GIBD"
"L094",57.4369842417311,"Clavet.2025","DTF","GIBD"
"L095",55.1377718802473,"Clavet.2025","DTF","GIBD"
"L096",55.2868079873136,"Clavet.2025","DTF","GIBD"
"L097",55.2151674410426,"Clavet.2025","DTF","GIBD"
"L098",55.9600475743206,"Clavet.2025","DTF","GIBD"
"L099",54.9894433352916,"Clavet.2025","DTF","GIBD"
"L100",55.0284317455447,"Clavet.2025","DTF","GIBD"
"CL1",52.7549390366667,"Hunter.2025","DTF","GIBD"
"CL2",55.0883060670726,"Hunter.2025","DTF","GIBD"
"CL3",55.5733847286549,"Hunter.2025","DTF","GIBD"
"Extra",52.58604010823,"Hunter.2025","DTF","GIBD"
"L001",56.3698261217773,"Hunter.2025","DTF","GIBD"
"L002",54.7758468040921,"Hunter.2025","DTF","GIBD"
"L003",52.976591067916,"Hunter.2025","DTF","GIBD"
"L004",52.3216318315618,"Hunter.2025","DTF","GIBD"
"L005",54.3240407768393,"Hunter.2025","DTF","GIBD"
"L006",55.4680557379819,"Hunter.2025","DTF","GIBD"
"L007",54.5163836375274,"Hunter.2025","DTF","GIBD"
"L008",53.7944681558945,"Hunter.2025","DTF","GIBD"
"L009",52.8997452319667,"Hunter.2025","DTF","GIBD"
"L010",55.786539357326,"Hunter.2025","DTF","GIBD"
"L011",55.0410364948343,"Hunter.2025","DTF","GIBD"
"L012",56.2970102578752,"Hunter.2025","DTF","GIBD"
"L013",54.148033522508,"Hunter.2025","DTF","GIBD"
"L014",53.9060989812965,"Hunter.2025","DTF","GIBD"
"L015",51.4712885699718,"Hunter.2025","DTF","GIBD"
"L016",53.5289636791526,"Hunter.2025","DTF","GIBD"
"L017",53.525416983535,"Hunter.2025","DTF","GIBD"
"L018",53.4102609223233,"Hunter.2025","DTF","GIBD"
"L019",54.3929206979569,"Hunter.2025","DTF","GIBD"
"L020",55.5918170702872,"Hunter.2025","DTF","GIBD"
"L021",52.9924629016944,"Hunter.2025","DTF","GIBD"
"L022",55.6529600631148,"Hunter.2025","DTF","GIBD"
"L023",53.2659791176652,"Hunter.2025","DTF","GIBD"
"L024",54.7651414942348,"Hunter.2025","DTF","GIBD"
"L025",54.3592032837031,"Hunter.2025","DTF","GIBD"
"L026",55.9955855912654,"Hunter.2025","DTF","GIBD"
"L027",53.8737149408874,"Hunter.2025","DTF","GIBD"
"L028",55.0528285551843,"Hunter.2025","DTF","GIBD"
"L029",53.4540934642501,"Hunter.2025","DTF","GIBD"
"L030",58.10272798093,"Hunter.2025","DTF","GIBD"
"L031",52.2883109080807,"Hunter.2025","DTF","GIBD"
"L032",54.0085932749858,"Hunter.2025","DTF","GIBD"
"L033",55.8497998084549,"Hunter.2025","DTF","GIBD"
"L034",52.9535603864725,"Hunter.2025","DTF","GIBD"
"L035",53.4372587141953,"Hunter.2025","DTF","GIBD"
"L036",53.8900673368312,"Hunter.2025","DTF","GIBD"
"L037",55.9725745764032,"Hunter.2025","DTF","GIBD"
"L038",55.224019564551,"Hunter.2025","DTF","GIBD"
"L039",51.3738605613182,"Hunter.2025","DTF","GIBD"
"L040",53.839600400867,"Hunter.2025","DTF","GIBD"
"L041",53.8287010643075,"Hunter.2025","DTF","GIBD"
"L042",54.4846357904478,"Hunter.2025","DTF","GIBD"
"L043",53.4354967650621,"Hunter.2025","DTF","GIBD"
"L044",56.2809133695583,"Hunter.2025","DTF","GIBD"
"L045",53.4558606424343,"Hunter.2025","DTF","GIBD"
"L046",54.7866194911709,"Hunter.2025","DTF","GIBD"
"L047",52.934031554738,"Hunter.2025","DTF","GIBD"
"L048",52.5924288458255,"Hunter.2025","DTF","GIBD"
"L049",55.5280091647883,"Hunter.2025","DTF","GIBD"
"L050",53.9007607522568,"Hunter.2025","DTF","GIBD"
"L051",53.4736108569973,"Hunter.2025","DTF","GIBD"
"L052",55.4295063444552,"Hunter.2025","DTF","GIBD"
"L053",53.4184868932672,"Hunter.2025","DTF","GIBD"
"L054",53.6216870098246,"Hunter.2025","DTF","GIBD"
"L055",54.0344226796088,"Hunter.2025","DTF","GIBD"
"L056",54.5655133835267,"Hunter.2025","DTF","GIBD"
"L057",53.1698128993012,"Hunter.2025","DTF","GIBD"
"L058",55.2744453779068,"Hunter.2025","DTF","GIBD"
"L059",54.7889584103863,"Hunter.2025","DTF","GIBD"
"L060",52.1307635452777,"Hunter.2025","DTF","GIBD"
"L061",54.7442811860296,"Hunter.2025","DTF","GIBD"
"L062",54.2582119084626,"Hunter.2025","DTF","GIBD"
"L063",53.0517807948896,"Hunter.2025","DTF","GIBD"
"L064",53.5099112544938,"Hunter.2025","DTF","GIBD"
"L065",53.6231201253613,"Hunter.2025","DTF","GIBD"
"L066",55.1141013658124,"Hunter.2025","DTF","GIBD"
"L067",52.3540381099168,"Hunter.2025","DTF","GIBD"
"L068",55.5350717848215,"Hunter.2025","DTF","GIBD"
"L069",52.7483900021557,"Hunter.2025","DTF","GIBD"
"L070",51.3396329504267,"Hunter.2025","DTF","GIBD"
"L071",56.6529247070817,"Hunter.2025","DTF","GIBD"
"L072",51.8409830189054,"Hunter.2025","DTF","GIBD"
"L073",50.8267312093782,"Hunter.2025","DTF","GIBD"
"L074",51.4831752855143,"Hunter.2025","DTF","GIBD"
"L075",51.8197761538358,"Hunter.2025","DTF","GIBD"
"L076",52.474909197602,"Hunter.2025","DTF","GIBD"
"L077",51.3876584606639,"Hunter.2025","DTF","GIBD"
"L078",52.7528595314151,"Hunter.2025","DTF","GIBD"
"L079",53.6671323885151,"Hunter.2025","DTF","GIBD"
"L080",52.6411278383922,"Hunter.2025","DTF","GIBD"
"L081",52.7121955359121,"Hunter.2025","DTF","GIBD"
"L082",52.0239242737238,"Hunter.2025","DTF","GIBD"
"L083",53.2513163289467,"Hunter.2025","DTF","GIBD"
"L084",54.3692134084725,"Hunter.2025","DTF","GIBD"
"L085",52.5057342423094,"Hunter.2025","DTF","GIBD"
"L086",53.3143553866475,"Hunter.2025","DTF","GIBD"
"L087",52.6351984330575,"Hunter.2025","DTF","GIBD"
"L088",51.7923810119676,"Hunter.2025","DTF","GIBD"
"L089",53.0759740752964,"Hunter.2025","DTF","GIBD"
"L090",53.8420341670414,"Hunter.2025","DTF","GIBD"
"L091",52.1735868671187,"Hunter.2025","DTF","GIBD"
"L092",51.7864466347593,"Hunter.2025","DTF","GIBD"
"L093",54.9051453167087,"Hunter.2025","DTF","GIBD"
"L094",55.9920560619374,"Hunter.2025","DTF","GIBD"
"L095",52.9301246569402,"Hunter.2025","DTF","GIBD"
"L096",53.9608392036015,"Hunter.2025","DTF","GIBD"
"L097",53.2359464278953,"Hunter.2025","DTF","GIBD"
"L098",53.994319753015,"Hunter.2025","DTF","GIBD"
"L099",53.0247642697594,"Hunter.2025","DTF","GIBD"
"L100",53.4277878762311,"Hunter.2025","DTF","GIBD"
"CL1",37.8367141226174,"Clavet.2024","VegP","GIBD"
"CL2",39.61326244595,"Clavet.2024","VegP","GIBD"
"CL3",40.2141996535604,"Clavet.2024","VegP","GIBD"
"Extra",37.8346729743974,"Clavet.2024","VegP","GIBD"
"L001",41.4965539467932,"Clavet.2024","VegP","GIBD"
"L002",38.2735371043899,"Clavet.2024","VegP","GIBD"
"L003",37.5731267629145,"Clavet.2024","VegP","GIBD"
"L004",37.1447158164064,"Clavet.2024","VegP","GIBD"
"L005",38.8157169056558,"Clavet.2024","VegP","GIBD"
"L006",40.3337152234905,"Clavet.2024","VegP","GIBD"
"L007",39.8009471172076,"Clavet.2024","VegP","GIBD"
"L008",38.6149500944508,"Clavet.2024","VegP","GIBD"
"L009",38.4797127345124,"Clavet.2024","VegP","GIBD"
"L010",39.7561726714778,"Clavet.2024","VegP","GIBD"
"L011",39.9069253238041,"Clavet.2024","VegP","GIBD"
"L012",41.9520779377114,"Clavet.2024","VegP","GIBD"
"L013",38.9252010481724,"Clavet.2024","VegP","GIBD"
"L014",39.8326617760535,"Clavet.2024","VegP","GIBD"
"L015",37.5916685216557,"Clavet.2024","VegP","GIBD"
"L016",38.1494189335242,"Clavet.2024","VegP","GIBD"
"L017",38.0708419618299,"Clavet.2024","VegP","GIBD"
"L018",38.3285196673745,"Clavet.2024","VegP","GIBD"
"L019",39.1107063271938,"Clavet.2024","VegP","GIBD"
"L020",40.5315982077077,"Clavet.2024","VegP","GIBD"
"L021",38.3250154298457,"Clavet.2024","VegP","GIBD"
"L022",40.6555199366537,"Clavet.2024","VegP","GIBD"
"L023",38.77010993185,"Clavet.2024","VegP","GIBD"
"L024",39.0582788685223,"Clavet.2024","VegP","GIBD"
"L025",39.0692906145691,"Clavet.2024","VegP","GIBD"
"L026",40.7623378449791,"Clavet.2024","VegP","GIBD"
"L027",37.6994941173537,"Clavet.2024","VegP","GIBD"
"L028",38.4730759233932,"Clavet.2024","VegP","GIBD"
"L029",38.118094397077,"Clavet.2024","VegP","GIBD"
"L030",41.6005706031158,"Clavet.2024","VegP","GIBD"
"L031",37.447109537145,"Clavet.2024","VegP","GIBD"
"L032",38.7090157347796,"Clavet.2024","VegP","GIBD"
"L033",39.3476521255129,"Clavet.2024","VegP","GIBD"
"L034",38.1268053498124,"Clavet.2024","VegP","GIBD"
"L035",37.7297969853348,"Clavet.2024","VegP","GIBD"
"L036",38.6722781080977,"Clavet.2024","VegP","GIBD"
"L037",40.0835223705676,"Clavet.2024","VegP","GIBD"
"L038",39.8488434901467,"Clavet.2024","VegP","GIBD"
"L039",37.2532048810187,"Clavet.2024","VegP","GIBD"
"L040",39.4096268855738,"Clavet.2024","VegP","GIBD"
"L041",38.9729896038317,"Clavet.2024","VegP","GIBD"
"L042",39.3227848655871,"Clavet.2024","VegP","GIBD"
"L043",38.9683911088537,"Clavet.2024","VegP","GIBD"
"L044",40.9636866047873,"Clavet.2024","VegP","GIBD"
"L045",38.528836573776,"Clavet.2024","VegP","GIBD"
"L046",39.0074007702208,"Clavet.2024","VegP","GIBD"
"L047",37.6249466202842,"Clavet.2024","VegP","GIBD"
"L048",38.2189027268865,"Clavet.2024","VegP","GIBD"
"L049",40.8799297640545,"Clavet.2024","VegP","GIBD"
"L050",37.5423439703122,"Clavet.2024","VegP","GIBD"
"L051",38.2661175954941,"Clavet.2024","VegP","GIBD"
"L052",39.9001862782964,"Clavet.2024","VegP","GIBD"
"L053",38.4125348228946,"Clavet.2024","VegP","GIBD"
"L054",39.3590448780518,"Clavet.2024","VegP","GIBD"
"L055",38.2643814668318,"Clavet.2024","VegP","GIBD"
"L056",38.754049466886,"Clavet.2024","VegP","GIBD"
"L057",38.9134430685247,"Clavet.2024","VegP","GIBD"
"L058",40.3675360446503,"Clavet.2024","VegP","GIBD"
"L059",39.5468358767587,"Clavet.2024","VegP","GIBD"
"L060",37.445562619734,"Clavet.2024","VegP","GIBD"
"L061",39.2909746102843,"Clavet.2024","VegP","GIBD"
"L062",38.5192896311351,"Clavet.2024","VegP","GIBD"
"L063",37.8828233596309,"Clavet.2024","VegP","GIBD"
"L064",37.7930469596076,"Clavet.2024","VegP","GIBD"
"L065",38.4781699228974,"Clavet.2024","VegP","GIBD"
