"genotype","BLUP","env","trait","model"
"L099",14.5143524398535,"Clavet.2024","DTE","GIBD"
"L100",14.742936523957,"Clavet.2024","DTE","GIBD"
"CL1",14.3962215414628,"Hunter.2024","DTE","GIBD"
"CL2",14.4594258524206,"Hunter.2024","DTE","GIBD"
"CL3",14.3047373306801,"Hunter.2024","DTE","GIBD"
"Extra",13.7079952331068,"Hunter.2024","DTE","GIBD"
"L001",13.8600411937869,"Hunter.2024","DTE","GIBD"
"L002",13.6717387978845,"Hunter.2024","DTE","GIBD"
"L003",13.6966925330527,"Hunter.2024","DTE","GIBD"
"L004",13.8003266415228,"Hunter.2024","DTE","GIBD"
"L005",13.8938207821353,"Hunter.2024","DTE","GIBD"
"L006",13.5798766874212,"Hunter.2024","DTE","GIBD"
"L007",13.7514779335938,"Hunter.2024","DTE","GIBD"
"L008",13.9124069323694,"Hunter.2024","DTE","GIBD"
"L009",13.7254581678747,"Hunter.2024","DTE","GIBD"
"L010",13.687193081863,"Hunter.2024","DTE","GIBD"
"L011",13.8414765360103,"Hunter.2024","DTE","GIBD"
"L012",13.6001155681133,"Hunter.2024","DTE","GIBD"
"L013",13.8299209699405,"Hunter.2024","DTE","GIBD"
"L014",13.8675235231192,"Hunter.2024","DTE","GIBD"
"L015",13.7243446467613,"Hunter.2024","DTE","GIBD"
"L016",13.8970901307116,"Hunter.2024","DTE","GIBD"
"L017",13.9316975085013,"Hunter.2024","DTE","GIBD"
"L018",13.7558203752605,"Hunter.2024","DTE","GIBD"
"L019",13.6793184598732,"Hunter.2024","DTE","GIBD"
"L020",13.8459879127398,"Hunter.2024","DTE","GIBD"
"L021",13.5815238527975,"Hunter.2024","DTE","GIBD"
"L022",13.9609841079978,"Hunter.2024","DTE","GIBD"
"L023",13.894324098482,"Hunter.2024","DTE","GIBD"
"L024",13.8297554261711,"Hunter.2024","DTE","GIBD"
"L025",13.8382159932369,"Hunter.2024","DTE","GIBD"
"L026",13.8682038221478,"Hunter.2024","DTE","GIBD"
"L027",13.6824848721365,"Hunter.2024","DTE","GIBD"
"L028",13.8703695122757,"Hunter.2024","DTE","GIBD"
"L029",13.7067407222943,"Hunter.2024","DTE","GIBD"
"L030",13.8232062528295,"Hunter.2024","DTE","GIBD"
"L031",13.868710750103,"Hunter.2024","DTE","GIBD"
"L032",13.866378609752,"Hunter.2024","DTE","GIBD"
"L033",13.8706367823097,"Hunter.2024","DTE","GIBD"
"L034",13.9370233539368,"Hunter.2024","DTE","GIBD"
"L035",13.7556936971523,"Hunter.2024","DTE","GIBD"
"L036",13.8377652260899,"Hunter.2024","DTE","GIBD"
"L037",13.8391814927467,"Hunter.2024","DTE","GIBD"
"L038",13.9141837722083,"Hunter.2024","DTE","GIBD"
"L039",13.7986385052057,"Hunter.2024","DTE","GIBD"
"L040",13.842408614061,"Hunter.2024","DTE","GIBD"
"L041",13.7191544604135,"Hunter.2024","DTE","GIBD"
"L042",13.8560815841039,"Hunter.2024","DTE","GIBD"
"L043",13.8103626717369,"Hunter.2024","DTE","GIBD"
"L044",13.7377932541979,"Hunter.2024","DTE","GIBD"
"L045",13.7102527342798,"Hunter.2024","DTE","GIBD"
"L046",13.7583969133735,"Hunter.2024","DTE","GIBD"
"L047",13.8235734305363,"Hunter.2024","DTE","GIBD"
"L048",13.8655560601527,"Hunter.2024","DTE","GIBD"
"L049",13.8045138439614,"Hunter.2024","DTE","GIBD"
"L050",13.871542540583,"Hunter.2024","DTE","GIBD"
"L051",13.7988963157817,"Hunter.2024","DTE","GIBD"
"L052",13.8743085643894,"Hunter.2024","DTE","GIBD"
"L053",13.7388272450724,"Hunter.2024","DTE","GIBD"
"L054",13.8744828705317,"Hunter.2024","DTE","GIBD"
"L055",13.9146071430009,"Hunter.2024","DTE","GIBD"
"L056",13.9327394506665,"Hunter.2024","DTE","GIBD"
"L057",13.5187104358844,"Hunter.2024","DTE","GIBD"
"L058",13.1059913986034,"Hunter.2024","DTE","GIBD"
"L059",13.3520078516132,"Hunter.2024","DTE","GIBD"
"L060",13.7008831567098,"Hunter.2024","DTE","GIBD"
"L061",13.7252713111278,"Hunter.2024","DTE","GIBD"
"L062",13.7246208592022,"Hunter.2024","DTE","GIBD"
"L063",13.769166028294,"Hunter.2024","DTE","GIBD"
"L064",13.808101253214,"Hunter.2024","DTE","GIBD"
"L065",13.8849181022095,"Hunter.2024","DTE","GIBD"
"L066",13.6748004314439,"Hunter.2024","DTE","GIBD"
"L067",13.8111122669538,"Hunter.2024","DTE","GIBD"
"L068",13.8329927439116,"Hunter.2024","DTE","GIBD"
"L069",13.7654195749293,"Hunter.2024","DTE","GIBD"
"L070",13.683185013433,"Hunter.2024","DTE","GIBD"
"L071",13.753836543777,"Hunter.2024","DTE","GIBD"
"L072",13.8225673090184,"Hunter.2024","DTE","GIBD"
"L073",13.8557379225147,"Hunter.2024","DTE","GIBD"
"L074",13.9060085669905,"Hunter.2024","DTE","GIBD"
"L075",13.8941086620644,"Hunter.2024","DTE","GIBD"
"L076",13.7720198274661,"Hunter.2024","DTE","GIBD"
"L077",13.8704999071099,"Hunter.2024","DTE","GIBD"
"L078",13.7509501572365,"Hunter.2024","DTE","GIBD"
"L079",13.8899192303386,"Hunter.2024","DTE","GIBD"
"L080",13.8771941542736,"Hunter.2024","DTE","GIBD"
"L081",13.8628013665022,"Hunter.2024","DTE","GIBD"
"L082",13.9196342378578,"Hunter.2024","DTE","GIBD"
"L083",13.8070646366219,"Hunter.2024","DTE","GIBD"
"L084",13.7695132373973,"Hunter.2024","DTE","GIBD"
