"genotype","BLUP_combined","trait","Genotype","dev_year"
"L003",1159.03120872856,"YLD","L003",2023
"L004",1034.18602496276,"YLD","L004",2026
"L005",1015.70433127885,"YLD","L005",2023
"L006",1164.72320840043,"YLD","L006",2023
"L007",1125.0076101791,"YLD","L007",2023
"L008",993.819036920558,"YLD","L008",2023
"L009",831.625886006239,"YLD","L009",2023
"L010",748.342972796878,"YLD","L010",2023
"L011",1027.55512743371,"YLD","L011",2026
"L012",931.130844590075,"YLD","L012",2023
"L013",1211.58823815955,"YLD","L013",2024
"L014",1038.50694871599,"YLD","L014",2025
"L015",931.55762514971,"YLD","L015",2024
"L016",992.916288907684,"YLD","L016",2025
"L017",1106.85100782734,"YLD","L017",2024
"L018",1038.70847319847,"YLD","L018",2024
"L019",929.822390175701,"YLD","L019",2023
"L020",971.298665489596,"YLD","L020",2025
"L021",1070.73765994462,"YLD","L021",2024
"L022",956.321285359688,"YLD","L022",2024
"L023",901.012369038579,"YLD","L023",2026
"L024",894.4274211412,"YLD","L024",2024
"L025",928.688906774595,"YLD","L025",2026
"L026",1033.57991447194,"YLD","L026",2025
"L027",954.90976276769,"YLD","L027",2026
"L028",887.469808130805,"YLD","L028",2025
"L029",965.942414752825,"YLD","L029",2026
"L030",881.859121555195,"YLD","L030",2025
"L031",1006.32349751124,"YLD","L031",2026
"L032",830.481183271863,"YLD","L032",2026
"L033",877.242350476576,"YLD","L033",2026
"L034",690.457065683755,"YLD","L034",2026
"L035",1077.9818032105,"YLD","L035",2026
"L036",868.855667706297,"YLD","L036",2026
"L037",935.18257504258,"YLD","L037",2026
"L038",821.362742341988,"YLD","L038",2026
"L039",943.964081240735,"YLD","L039",2026
"L040",1022.91994897069,"YLD","L040",2026
"L041",992.768525053143,"YLD","L041",2026
"L042",1018.99297035558,"YLD","L042",2026
"L043",1080.65376473809,"YLD","L043",2026
"L044",894.57022129416,"YLD","L044",2026
"L045",979.610164712445,"YLD","L045",2027
"L046",1067.19143277136,"YLD","L046",2027
"L047",946.182308287586,"YLD","L047",2026
"L048",1066.8068342053,"YLD","L048",2026
"L049",1040.03862178119,"YLD","L049",2026
"L050",1086.96417329239,"YLD","L050",2027
"L051",983.847670693894,"YLD","L051",2027
"L052",1028.34803203582,"YLD","L052",2027
"L053",897.116980979451,"YLD","L053",2027
"L054",901.04371592219,"YLD","L054",2027
"L055",814.680531714947,"YLD","L055",2014
"L056",768.740645155271,"YLD","L056",2016
"L057",932.550041662702,"YLD","L057",2017
"L058",626.589159324711,"YLD","L058",2018
"L059",828.968050636191,"YLD","L059",2018
"L060",943.508106031462,"YLD","L060",2018
"L061",1016.82967119277,"YLD","L061",2019
"L062",989.070281361592,"YLD","L062",2020
"L063",945.278643664907,"YLD","L063",2019
"L064",854.946057177095,"YLD","L064",2019
"L065",1083.19539251796,"YLD","L065",2019
"L066",855.55269183673,"YLD","L066",2019
"L067",784.601277701497,"YLD","L067",2019
"L068",990.941393941979,"YLD","L068",2019
"L069",948.383848969939,"YLD","L069",2019
"L070",949.746621129304,"YLD","L070",2019
"L071",697.245054240174,"YLD","L071",2019
"L072",803.808338584681,"YLD","L072",2019
"L073",691.668063355706,"YLD","L073",2006
"L074",700.997916745883,"YLD","L074",2006
"L075",707.685526837194,"YLD","L075",2006
"L076",883.316747987355,"YLD","L076",2014
"L077",1066.22654060547,"YLD","L077",2007
"L078",800.0869996773,"YLD","L078",2008
"L079",720.805289058036,"YLD","L079",2008
"L080",860.446429850547,"YLD","L080",2009
"L081",785.242838339468,"YLD","L081",2008
"L082",758.746262964656,"YLD","L082",2009
"L083",966.809577012271,"YLD","L083",2010
"L084",943.31729880164,"YLD","L084",2013
"L085",1021.41853175793,"YLD","L085",2014
"L086",716.203685457638,"YLD","L086",2013
"L087",991.405053559787,"YLD","L087",2013
"L088",783.179945403764,"YLD","L088",2007
"L089",770.654523614255,"YLD","L089",2016
"L090",821.892995324665,"YLD","L090",2016
"L091",1039.20935604361,"YLD","L091",2016
"L092",861.387595124387,"YLD","L092",2017
"L093",1040.28641898817,"YLD","L093",2018
"L094",1038.17617182104,"YLD","L094",2017
"L095",959.868716999349,"YLD","L095",2020
"L096",788.118811698569,"YLD","L096",2020
"L097",1061.25396259472,"YLD","L097",2019
"L098",1142.95792637528,"YLD","L098",2019
"L099",781.276671808213,"YLD","L099",2019
"L100",819.530897411696,"YLD","L100",2019
"L001",25.3763153258376,"PRT","L001",2023
"L002",23.8084144382721,"PRT","L002",2025
"L003",25.1527291282315,"PRT","L003",2023
"L004",23.3040002676827,"PRT","L004",2026
"L005",24.3891175508898,"PRT","L005",2023
"L006",25.0583548401366,"PRT","L006",2023
"L007",23.8966025704948,"PRT","L007",2023
"L008",23.7616456991244,"PRT","L008",2023
"L009",26.8469126850802,"PRT","L009",2023
"L010",26.1435252194452,"PRT","L010",2023
"L011",25.229875367231,"PRT","L011",2026
"L012",24.0943213611263,"PRT","L012",2023
"L013",23.0500843028971,"PRT","L013",2024
"L014",24.2542047189858,"PRT","L014",2025
"L015",24.9213448830195,"PRT","L015",2024
"L016",24.315303053478,"PRT","L016",2025
"L017",24.8521104869277,"PRT","L017",2024
"L018",24.2385475373008,"PRT","L018",2024
"L019",25.4053418526063,"PRT","L019",2023
"L020",24.2058542530541,"PRT","L020",2025
"L021",24.9792673354471,"PRT","L021",2024
"L022",23.8517868030648,"PRT","L022",2024
"L023",23.3243268696341,"PRT","L023",2026
"L024",23.3055059053746,"PRT","L024",2024
"L025",23.7315482682682,"PRT","L025",2026
"L026",24.5737311488994,"PRT","L026",2025
"L027",25.4013589466138,"PRT","L027",2026
"L028",25.0267800792179,"PRT","L028",2025
"L029",24.0406003108854,"PRT","L029",2026
"L030",23.9749061470477,"PRT","L030",2025
"L031",25.3210397940235,"PRT","L031",2026
"L032",22.5560475667156,"PRT","L032",2026
"L033",23.5979333994266,"PRT","L033",2026
"L034",24.0981513704625,"PRT","L034",2026
"L035",24.3394727248603,"PRT","L035",2026
"L036",24.0472251233015,"PRT","L036",2026
"L037",25.0829801313656,"PRT","L037",2026
"L038",24.2879696265615,"PRT","L038",2026
"L039",26.5256535527207,"PRT","L039",2026
"L040",24.9310988251628,"PRT","L040",2026
"L041",24.9168551060279,"PRT","L041",2026
"L042",23.422046944854,"PRT","L042",2026
"L043",24.3409585436997,"PRT","L043",2026
"L044",25.3788461819473,"PRT","L044",2026
"L045",25.1476842468436,"PRT","L045",2027
"L046",25.0641708957231,"PRT","L046",2027
"L047",23.9398516139206,"PRT","L047",2026
"L048",23.3811605899217,"PRT","L048",2026
"L049",24.6935123521759,"PRT","L049",2026
"L050",26.2520350345522,"PRT","L050",2027
"L051",25.3246827956572,"PRT","L051",2027
"L052",24.1332171564064,"PRT","L052",2027
"L053",23.5574839535028,"PRT","L053",2027
"L054",25.1896997119627,"PRT","L054",2027
"L055",24.1240647979116,"PRT","L055",2014
"L056",24.9119852706646,"PRT","L056",2016
"L057",24.2207154707216,"PRT","L057",2017
"L058",24.8513549560584,"PRT","L058",2018
"L059",23.4538373915763,"PRT","L059",2018
"L060",25.7165176666095,"PRT","L060",2018
"L061",24.3990318348088,"PRT","L061",2019
"L062",25.2043681193139,"PRT","L062",2020
"L063",25.1309993153265,"PRT","L063",2019
"L064",26.5522184337461,"PRT","L064",2019
"L065",24.3507087635138,"PRT","L065",2019
"L066",24.3562102934566,"PRT","L066",2019
"L067",24.8427957346306,"PRT","L067",2019
"L068",24.7607034694979,"PRT","L068",2019
"L069",25.476353759977,"PRT","L069",2019
"L070",24.8694382573395,"PRT","L070",2019
"L071",24.8472112107113,"PRT","L071",2019
"L072",26.2208600324339,"PRT","L072",2019
"L073",26.0058979416879,"PRT","L073",2006
"L074",25.4918248485273,"PRT","L074",2006
"L075",24.5193592195241,"PRT","L075",2006
"L076",24.3345071196155,"PRT","L076",2014
"L077",24.4929640847564,"PRT","L077",2007
"L078",24.8024931760732,"PRT","L078",2008
"L079",24.6884735050925,"PRT","L079",2008
"L080",24.2819544675143,"PRT","L080",2009
"L081",24.7254819416414,"PRT","L081",2008
"L082",24.9055035600715,"PRT","L082",2009
"L083",24.8379812220654,"PRT","L083",2010
"L084",24.1465653722245,"PRT","L084",2013
"L085",24.420127773419,"PRT","L085",2014
"L086",23.6168392078619,"PRT","L086",2013
"L087",24.6134237751066,"PRT","L087",2013
"L088",25.4852675977827,"PRT","L088",2007
"L089",23.678879306591,"PRT","L089",2016
"L090",24.4224535082035,"PRT","L090",2016
"L091",24.3593501433162,"PRT","L091",2016
"L092",24.5390399597988,"PRT","L092",2017
"L093",25.0021474721335,"PRT","L093",2018
"L094",24.8575314472778,"PRT","L094",2017
"L095",24.1912825692753,"PRT","L095",2020
"L096",25.3884200666416,"PRT","L096",2020
"L097",24.7938424330114,"PRT","L097",2019
"L098",23.449551939446,"PRT","L098",2019
"L099",23.1477507188472,"PRT","L099",2019
"L100",24.0283431206345,"PRT","L100",2019
"L001",1.43056376941443,"DS","L001",2023
"L002",1.41843076114409,"DS","L002",2025
"L003",1.40425839866928,"DS","L003",2023
"L004",1.44818483419193,"DS","L004",2026
"L005",1.42014650240456,"DS","L005",2023
"L006",1.39415632247472,"DS","L006",2023
"L007",1.4018197971501,"DS","L007",2023
"L008",1.40487646246623,"DS","L008",2023
"L009",1.43105248686993,"DS","L009",2023
"L010",1.44929000717168,"DS","L010",2023
"L011",1.42112296352788,"DS","L011",2026
"L012",1.37483772661836,"DS","L012",2023
"L013",1.38581917559828,"DS","L013",2024
"L014",1.4051638128588,"DS","L014",2025
"L015",1.46485696351114,"DS","L015",2024
"L016",1.4508442507046,"DS","L016",2025
"L017",1.47288318443726,"DS","L017",2024
"L018",1.47156894152769,"DS","L018",2024
"L019",1.39838416871631,"DS","L019",2023
"L020",1.4365895270321,"DS","L020",2025
"L021",1.416176710475,"DS","L021",2024
"L022",1.40082493033395,"DS","L022",2024
"L023",1.45719052409893,"DS","L023",2026
"L024",1.36982014318211,"DS","L024",2024
"L025",1.42275610584406,"DS","L025",2026
"L026",1.43061636417311,"DS","L026",2025
"L027",1.47104737738395,"DS","L027",2026
"L028",1.52784652317126,"DS","L028",2025
"L029",1.48567163052025,"DS","L029",2026
"L030",1.47015936816554,"DS","L030",2025
"L031",1.49740956292172,"DS","L031",2026
"L032",1.46783299833273,"DS","L032",2026
"L033",1.44531521494651,"DS","L033",2026
"L034",1.40367014669478,"DS","L034",2026
"L035",1.49983386994579,"DS","L035",2026
"L036",1.5213276253945,"DS","L036",2026
"L037",1.47994738516932,"DS","L037",2026
"L038",1.40613701269498,"DS","L038",2026
"L039",1.45681488641015,"DS","L039",2026
"L040",1.45422613536072,"DS","L040",2026
"L041",1.40430137505108,"DS","L041",2026
"L042",1.45275286337799,"DS","L042",2026
"L043",1.44650095350867,"DS","L043",2026
"L044",1.39553068652873,"DS","L044",2026
"L045",1.42307090620408,"DS","L045",2027
"L046",1.4285886673511,"DS","L046",2027
"L047",1.4434847597444,"DS","L047",2026
"L048",1.42040141021606,"DS","L048",2026
"L049",1.3838776405802,"DS","L049",2026
"L050",1.43599193505435,"DS","L050",2027
"L051",1.42446907728322,"DS","L051",2027
"L052",1.46452063667634,"DS","L052",2027
"L053",1.40536404624346,"DS","L053",2027
"L054",1.44570131047343,"DS","L054",2027
"L055",1.44877961264755,"DS","L055",2014
"L056",1.40174735579769,"DS","L056",2016
"L057",1.45943827741336,"DS","L057",2017
"L058",1.37503691568298,"DS","L058",2018
"L059",1.37539935300919,"DS","L059",2018
"L060",1.44234948437307,"DS","L060",2018
"L061",1.44385989394743,"DS","L061",2019
"L062",1.40717523010491,"DS","L062",2020
"L063",1.43425805020611,"DS","L063",2019
"L064",1.44238389087578,"DS","L064",2019
"L065",1.40903709948873,"DS","L065",2019
"L066",1.42418402137967,"DS","L066",2019
"L067",1.54231847648562,"DS","L067",2019
"L068",1.39474677591827,"DS","L068",2019
"L069",1.46203329596368,"DS","L069",2019
"L070",1.40004148987247,"DS","L070",2019
"L071",1.38408328152199,"DS","L071",2019
"L072",1.48281469407962,"DS","L072",2019
"L073",1.58997508594544,"DS","L073",2006
"L074",1.54546327629737,"DS","L074",2006
"L075",1.521994376106,"DS","L075",2006
"L076",1.3775705479019,"DS","L076",2014
"L077",1.39444447502061,"DS","L077",2007
"L078",1.58114432750316,"DS","L078",2008
"L079",1.51156205418638,"DS","L079",2008
"L080",1.47108345244359,"DS","L080",2009
"L081",1.61762870021828,"DS","L081",2008
"L082",1.59536606906246,"DS","L082",2009
"L083",1.45636572902814,"DS","L083",2010
"L084",1.43183419003473,"DS","L084",2013
"L085",1.53989682517201,"DS","L085",2014
"L086",1.2314758075691,"DS","L086",2013
"L087",1.45494670715128,"DS","L087",2013
"L088",1.55622092139098,"DS","L088",2007
"L089",1.23170690165036,"DS","L089",2016
"L090",1.5218054985012,"DS","L090",2016
"L091",1.46432345120596,"DS","L091",2016
"L092",1.61002479840748,"DS","L092",2017
"L093",1.40505536466849,"DS","L093",2018
"L094",1.41106077994017,"DS","L094",2017
"L095",1.4731996060645,"DS","L095",2020
"L096",1.44373352342241,"DS","L096",2020
"L097",1.44802817433405,"DS","L097",2019
"L098",1.43260851856713,"DS","L098",2019
"L099",1.26021368072267,"DS","L099",2019
"L100",1.23551889278764,"DS","L100",2019
