"genotype","BLUP_combined","trait","Genotype","dev_year"
"L039",50.3087010968288,"DTF","L039",2026
"L040",52.9486579702844,"DTF","L040",2026
"L041",52.7990622018208,"DTF","L041",2026
"L042",53.6139973342401,"DTF","L042",2026
"L043",52.3008035683573,"DTF","L043",2026
"L044",55.0049443225994,"DTF","L044",2026
"L045",52.011124574397,"DTF","L045",2027
"L046",52.9618843776815,"DTF","L046",2027
"L047",51.7821729971337,"DTF","L047",2026
"L048",51.897374554167,"DTF","L048",2026
"L049",54.5954319887576,"DTF","L049",2026
"L050",51.427673008763,"DTF","L050",2027
"L051",52.2827110431397,"DTF","L051",2027
"L052",53.7594821019748,"DTF","L052",2027
"L053",52.4802256269463,"DTF","L053",2027
"L054",52.6978318989149,"DTF","L054",2027
"L055",52.4774346523672,"DTF","L055",2014
"L056",52.7611289647619,"DTF","L056",2016
"L057",52.3486285378676,"DTF","L057",2017
"L058",54.7966276055021,"DTF","L058",2018
"L059",53.6429574256939,"DTF","L059",2018
"L060",50.2594693193629,"DTF","L060",2018
"L061",53.2514354114502,"DTF","L061",2019
"L062",52.3594541431758,"DTF","L062",2020
"L063",51.3562443741314,"DTF","L063",2019
"L064",51.700050518267,"DTF","L064",2019
"L065",52.1752792089444,"DTF","L065",2019
"L066",53.4292568141956,"DTF","L066",2019
"L067",51.1695916227527,"DTF","L067",2019
"L068",55.231949365051,"DTF","L068",2019
"L069",52.1328683696278,"DTF","L069",2019
"L070",50.871739297398,"DTF","L070",2019
"L071",55.0115311410328,"DTF","L071",2019
"L072",50.3228903150986,"DTF","L072",2019
"L073",50.0204548108001,"DTF","L073",2006
"L074",49.949966885928,"DTF","L074",2006
"L075",50.4588897301865,"DTF","L075",2006
"L076",50.3075410545687,"DTF","L076",2014
"L077",50.7874169278747,"DTF","L077",2007
"L078",51.8105811922224,"DTF","L078",2008
"L079",52.6429453570518,"DTF","L079",2008
"L080",51.0602295525929,"DTF","L080",2009
"L081",52.3288045020686,"DTF","L081",2008
"L082",50.7092443363917,"DTF","L082",2009
"L083",51.7892642989354,"DTF","L083",2010
"L084",52.5678874858067,"DTF","L084",2013
"L085",51.2691567026253,"DTF","L085",2014
"L086",52.3751244986665,"DTF","L086",2013
"L087",51.3380554112099,"DTF","L087",2013
"L088",50.2121037034299,"DTF","L088",2007
"L089",52.5375512525283,"DTF","L089",2016
"L090",51.7483025703144,"DTF","L090",2016
"L091",51.185887520673,"DTF","L091",2016
"L092",51.1845154126549,"DTF","L092",2017
"L093",53.9410743850143,"DTF","L093",2018
"L094",54.5241096585039,"DTF","L094",2017
"L095",52.2453485670522,"DTF","L095",2020
"L096",52.5059548038625,"DTF","L096",2020
"L097",52.605408207917,"DTF","L097",2019
"L098",52.9524085973646,"DTF","L098",2019
"L099",51.6757058095145,"DTF","L099",2019
"L100",52.1387055884852,"DTF","L100",2019
"L001",41.6440603772428,"VegP","L001",2023
"L002",38.7780034950218,"VegP","L002",2025
"L003",37.5178933423031,"VegP","L003",2023
"L004",37.2493754350682,"VegP","L004",2026
"L005",38.4248326217925,"VegP","L005",2023
"L006",40.7327051794447,"VegP","L006",2023
"L007",39.8463735038884,"VegP","L007",2023
"L008",38.0545173623812,"VegP","L008",2023
"L009",37.9697208102076,"VegP","L009",2023
"L010",40.2048285134613,"VegP","L010",2023
"L011",40.4885056644315,"VegP","L011",2026
"L012",41.4966145116954,"VegP","L012",2023
"L013",38.602626139635,"VegP","L013",2024
"L014",39.213030345627,"VegP","L014",2025
"L015",36.5673380958367,"VegP","L015",2024
"L016",38.0987175320343,"VegP","L016",2025
"L017",38.0666873830126,"VegP","L017",2024
"L018",38.1137965022537,"VegP","L018",2024
"L019",39.4646001898531,"VegP","L019",2023
"L020",40.6973724972799,"VegP","L020",2025
"L021",38.206039886648,"VegP","L021",2024
"L022",40.5468372255441,"VegP","L022",2024
"L023",38.6366774430587,"VegP","L023",2026
"L024",39.6399965484263,"VegP","L024",2024
"L025",39.1907496518189,"VegP","L025",2026
"L026",40.9001483079652,"VegP","L026",2025
"L027",38.010717664977,"VegP","L027",2026
"L028",39.0785008126931,"VegP","L028",2025
"L029",38.7171929792114,"VegP","L029",2026
"L030",42.0295147895914,"VegP","L030",2025
"L031",36.6513662690715,"VegP","L031",2026
"L032",38.6958903421969,"VegP","L032",2026
"L033",39.7124955246615,"VegP","L033",2026
"L034",37.9217176718958,"VegP","L034",2026
"L035",38.0305310241511,"VegP","L035",2026
"L036",38.3883859571925,"VegP","L036",2026
"L037",40.7946027075318,"VegP","L037",2026
"L038",40.0033585164795,"VegP","L038",2026
"L039",36.4194853387973,"VegP","L039",2026
"L040",38.9788295103611,"VegP","L040",2026
"L041",38.7794975919941,"VegP","L041",2026
"L042",39.684163525884,"VegP","L042",2026
