"V1","V2","V3","V4"
-0.103124112182711,-0.103042352814463,-0.0111100672794434,0.0441704459833437
0.20526970994869,0.00290541074549395,0.0524002472099899,0.0173242860370722
-0.0740088615041382,-0.0296727839073694,0.0752386817200226,-0.0523118538620891
-0.101832344565612,-0.126898039996631,0.196776832201393,0.0101425534093982
0.0676982296150261,-0.0876537145721281,-0.00618483631201143,-0.000607456205343124
-0.0539345431227752,0.0368377186683863,-0.0579113663095338,-0.106459242547042
-0.0579248682498867,0.0750566768361818,0.191758207168582,-0.0658597616297445
0.00680505501458775,0.193752605107202,0.0209564047768958,0.0313209480689855
-0.0171082756792072,-0.1372942378309,-0.0155771171735824,-0.00810106872973877
-0.2267244272969,0.234255238260883,-0.109738084774992,0.302069768265589
-0.1081096300904,-0.0344154940642909,-0.129906552327836,-0.10936050692408
-0.142769321341318,-0.249884839475404,-0.00343124989276687,0.00409996890115462
0.0702412527693275,0.109944361635871,0.0325561199731363,-0.0776378304042418
-0.410567198156708,-0.0502984440131866,0.0207616675493917,0.0051508427131719
0.214232995745393,0.0754322639376894,-0.180168852976251,-0.0663970157900159
-0.32633672896089,0.136827621978145,-0.110050346233765,0.313002690982561
-0.00837040340794746,-0.0922154286482839,0.12810099340425,0.0086343827413088
-0.134031449070059,-0.204806030292787,0.140246860685067,0.020835420372202
-0.152126194258569,-0.0133132767387305,0.0170701389170766,0.239540980724246
0.061037956315152,-0.0918052817456008,-0.0529515033923572,-0.0119054134715068
0.0462321599453954,-0.139592374769566,-0.0438714839895629,0.0065211217698595
-0.155624443758151,-0.101517139623496,-0.155135071265795,-0.100963814034954
0.0931925722089679,0.201366980510328,-0.0323705859127984,-0.125788858153137
-0.0299322352077156,-0.0626439823130557,0.0505202637144795,0.139343929689337
-0.310200722601796,0.310844783333842,-0.0165745095961119,-0.0178652772341007
0.085601450543263,-0.116126255060854,0.0372037214315371,0.0278489213882642
0.261874734431605,-0.0126936413698369,0.102754950235021,0.0541341037032182
0.186699001977263,0.0207853198989024,-0.0650973706731728,-0.0241064511023996
0.401861302495194,0.203659489498526,-0.0187811490810955,0.200283797603127
-0.273549750869286,-0.278856206115671,0.150364861406289,0.0407916349062123
-0.189241211410143,0.0537739028951191,-0.0457861588269387,0.0707981357334595
0.0283289390171584,-0.11111983428084,-0.0872600417331114,-0.0219352558237478
-0.136663449445624,0.0281244374187573,0.0296077963263842,-0.108515360866553
-0.2092071815244,-0.171327069024048,-0.0276054602231259,-0.0574051344334158
0.00435779399042392,-0.0853555776334631,0.0221095305039689,-0.0152296467049408
0.0156007416187863,-0.117979685295661,0.0187314211671719,0.00192877362250224
0.118006868347887,0.00878979100769713,-0.10749048868062,0.0618034909354091
0.144359211839378,-0.0816487171638483,0.0590541310326974,0.036610648826582
0.178126002521663,0.0957799529023695,0.234716979222084,0.0106325667536176
-0.0268659735375608,-0.0651861714916821,-0.114812361400268,-0.0662819388308746
-0.0723031882339269,-0.0913605750417426,-0.043129436840742,-0.0524477517368664
0.235825990433485,-0.0278566267316037,0.115213078974612,0.0554022186171409
0.103970095654416,0.0120720386492751,0.0224217919627448,-0.0261625694219115
0.0564552819866637,-0.0550296069099302,-0.00280672697521435,-0.0177658765327861
0.0221340899001999,0.0413994327445417,-0.192197196025794,-0.115701081493693
0.217922769505248,0.000615913757122728,0.0718245212310656,0.026945841023534
0.120261141794182,0.0993430903502594,-0.0892715810035356,-0.0856115544369709
-0.088128810190778,-0.0219607925438729,0.010393448913198,-0.0754666351255894
-0.0451966708515153,0.0819165278510025,0.0857667442683004,-0.089723791075994
-0.0314486478660496,-0.0284104966560118,-0.0646675849831282,-0.0721424018921548
0.128589229546534,0.0360379088347113,0.403607281448705,0.0904028008518794
-0.0171082756792072,-0.1372942378309,-0.0155771171735824,-0.00810106872973877
-0.0141377761391887,-0.0583263204768609,-0.220803824300551,-0.0901459682771246
0.0891642992846581,-0.0357150543746907,0.0315018113655395,-0.00773603418054518
0.0968295483862613,0.0638959076756966,-0.124655087750107,0.139316740084092
-0.0871089846036844,-0.139147668065708,-0.0340494174379473,-0.0340212164955
0.164805455921915,0.087476818555424,0.141183645061392,-0.0119633477787097
0.166718182077642,0.00833061837848442,-0.205397371914207,-0.0580003229008897
0.340020966425965,0.0327953147154627,0.0653805640162454,0.0503297589614502
0.248554187831857,-0.0209967757167824,0.00922161607433082,0.0315381891708913
-0.348342350249337,0.146100401102649,-0.00298391492766765,0.101908583555505
-0.225836543478643,0.691761735845323,0.0783047348327304,0.0889522590071677
-0.222120118274173,0.333851730413341,-0.0334061874086028,-0.116341291451996
-0.336922728146064,0.163102350773867,-0.0850545600848659,-0.0337855356943159
-0.161788129986786,-0.0227153169321778,-0.042271023297391,0.0577791416502836
-0.0160505022949161,0.0208198797000782,0.12577719267505,-0.0441089931549441
0.0191635903601814,-0.0375684846094973,0.0130295111011743,-0.0336561819463071
0.01550497948865,-0.0364695787629956,-0.0211626608450495,0.125509742595328
0.223990693603746,0.0033241975984713,-0.0809336087495618,-0.00821614568887925
-0.216849332614171,0.217009232377129,0.15586791524745,-0.187601853384964
-0.150449420228287,-0.136849531127042,-0.00575505062196682,-0.0486434069950983
-0.204512431962815,-0.150684024327701,0.0214643477881964,0.171692539378608
-0.203101309628705,0.106682207870114,0.00543358599602135,-0.170020464201125
-0.0212255258247808,0.0561522712036259,-0.02360282796878,-0.0964294001948011
0.0487751830996959,0.0580057014384325,-0.00513052770441473,-0.0705092524290391
-0.0203823747125958,-0.110660661651627,0.010646841500479,0.0978685580125518
0.0631155552865378,-0.0508780397364574,0.0439599401051314,-0.00646791926662248
-0.266907169436223,-0.0476904893900753,0.0918984400243426,-0.10217478629694
0.321637471529448,0.117243291404083,-0.0783182063598072,0.198650648140011
0.0666784040279329,0.0295331609497063,0.0382580300391338,-0.0420528748354318
0.0870867003132723,-0.0766422963838341,-0.065409632131949,-0.0131735283854295
0.0466975841283105,0.0170784594292879,-0.102041971201903,-0.0759467466339228
0.341506216195974,0.0722792733924826,-0.0372327895472386,0.00930730918775695
-0.015623025909198,-0.0978102791538812,-0.118190470737065,-0.049123518503431
0.0564552819866637,-0.0550296069099302,-0.00280672697521435,-0.0177658765327861
0.372137634522583,0.0506665839185777,-0.0998356947039717,0.0138996573351146
-0.109002530659033,-0.0724561694091867,0.17223159829662,-0.0218781131718098
0.00584304376043318,-0.0458716189564429,-0.0805038230595172,-0.0562520964786344
0.136679112952409,0.0313865911845139,0.0567303303034975,-0.0161327270696709
0.112115618724298,0.0557075644997664,-0.0334248945203952,-0.0558870619294409
0.0145809160316931,-0.000792809773826688,0.0631742875183171,-0.0395166450075865
-0.0523223683343045,-0.0789058735213243,0.0971705644002952,-0.0185538799383754
0.052338031841091,0.138416902124596,-0.0108324377704123,-0.106094207997848
0.133116264211015,-0.0490246095016492,0.0624322403694946,0.0194522284991384
-0.117408688674712,-0.154655030913096,-0.255308257705551,0.0799528789814803
0.200019548577011,0.0290884542458478,0.028435963487517,-0.00151053657007264
-0.103400030743451,-0.226418719766693,0.0776439555283332,0.0254277685195593
0.0197031419789958,-0.0987799239314381,-0.131723567882477,0.18456650345595
-0.103954432147629,0.0474389899539968,0.063916334667138,-0.0984855185143123
0.200019548577011,0.0290884542458478,0.028435963487517,-0.00151053657007264
-0.0324684734531432,0.0887763788658238,-0.0202247186319829,-0.113587820522244
0.0712610783564212,-0.0072425138859644,-0.011886746378009,-0.0361924117741525
-0.0360313221945383,0.00836517817966007,-0.0145228085659853,-0.0780028649534347
-0.220818327887946,-0.0253088056299358,-0.0253229790903701,0.325450922762054
