"Comp 1","Comp 2","variable","trait"
-0.0119032843744452,-0.0524662824184413,"sowing_to_emergence_GDD","YLD"
0.161490405090819,-0.291722576593023,"emergence_to_flower_GDD","YLD"
-0.224811004330215,-0.239087664287508,"flowering_to_maturity_GDD","YLD"
0.219825010360709,-0.239961912268179,"full_season_GDD","YLD"
-0.161386559633199,-0.1455902667551,"sowing_to_emergence_precip_total","YLD"
-0.142608765180089,-0.0114501797919704,"emergence_to_flower_precip_total","YLD"
0.271151868157578,-0.117149782372819,"flowering_to_maturity_precip_total","YLD"
0.270832461264156,-0.0313855359193284,"full_season_precip_total","YLD"
0.191715279139144,0.159183956050744,"sowing_to_emergence_mean_rad","YLD"
0.132012139909448,-0.275288445746708,"emergence_to_flower_mean_rad","YLD"
-0.0285028919090788,0.360730767792537,"flowering_to_maturity_mean_rad","YLD"
0.12573288146577,0.323755304709834,"full_season_mean_rad","YLD"
0.155614528602052,0.0387901216173193,"sowing_to_emergence_VPD","YLD"
0.193503888190787,-0.192919879614896,"emergence_to_flower_VPD","YLD"
-0.280791565653913,0.0609492254011008,"flowering_to_maturity_VPD","YLD"
-0.18818875595667,-0.167252621384073,"full_season_VPD","YLD"
-0.0974642246054071,-0.2712617593644,"emergence_to_flower_heat_days","YLD"
-0.282313867108315,0.035055184660113,"flowering_to_maturity_heat_days","YLD"
-0.257275919895491,-0.138516779975519,"full_season_heat_days","YLD"
-0.0260166423833435,0.379102033354634,"sowing_to_emergence_frost_days","YLD"
-0.0260166423833435,0.379102033354634,"full_season_frost_days","YLD"
0.220850597851517,0.209262798080501,"sowing_to_emergence_dtr","YLD"
0.254880889133138,-0.0436624751464354,"emergence_to_flower_dtr","YLD"
-0.278026084612415,0.0528074109579568,"flowering_to_maturity_dtr","YLD"
-0.0603684884527191,-0.100203280779166,"full_season_dtr","YLD"
0.00456473400326407,-0.0704948963865277,"sowing_to_emergence_tmean","YLD"
0.0644147935536798,-0.280670032766577,"emergence_to_flower_tmean","YLD"
-0.274496410942678,0.0263933342594908,"flowering_to_maturity_tmean","YLD"
-0.161676887891944,-0.217225716092892,"full_season_tmean","YLD"
