"GDD","precip_total","mean_rad","VPD","heat_days","frost_days","dtr","tmean","env","site","trial_year","gs_days"
1291.63,163.75,19.4197115384615,0.94311944156089,19,1,12.1859615384615,17.7383653846154,"Clavet.2024","Clavet",2024,103
1440.095,195.64,20.1800854700855,0.91371023420236,11,1,12.4453846153846,17.4959829059829,"Clavet.2025","Clavet",2025,116
1438.415,156.32,19.324,1.04992908403966,23,0,12.7922857142857,18.9259047619048,"Hunter.2024","Hunter",2024,104
1568.315,211.93,19.27336,0.916841407506471,13,0,12.25784,17.71224,"Hunter.2025","Hunter",2025,124
