"Comp 1","Comp 2","variable","trait"
-0.110823093303806,-0.277843398444596,"sowing_to_emergence_GDD","DTF"
-0.201700474376931,-0.111902750704325,"emergence_to_flower_GDD","DTF"
0.18003916714653,-0.196647383841948,"flowering_to_maturity_GDD","DTF"
-0.227815890654872,-0.0186904735363096,"full_season_GDD","DTF"
0.0462808210563358,-0.314279358591258,"sowing_to_emergence_precip_total","DTF"
0.22858715851324,0.150921089796856,"emergence_to_flower_precip_total","DTF"
-0.249577789488532,0.0821777333752475,"flowering_to_maturity_precip_total","DTF"
-0.206208171446534,0.192793101028131,"full_season_precip_total","DTF"
-0.233548906737915,-0.0139274743020692,"sowing_to_emergence_mean_rad","DTF"
-0.197280195621043,-0.168948700383947,"emergence_to_flower_mean_rad","DTF"
0.0913536699877803,0.204737805306719,"flowering_to_maturity_mean_rad","DTF"
-0.133227851916356,0.079879183086253,"full_season_mean_rad","DTF"
-0.234444288268414,-0.126894146950078,"sowing_to_emergence_VPD","DTF"
-0.247184962864845,-0.113013563938609,"emergence_to_flower_VPD","DTF"
0.250332925536401,-0.115256105834878,"flowering_to_maturity_VPD","DTF"
0.0828468638627399,-0.303779920252259,"full_season_VPD","DTF"
-0.00569835884294822,-0.300748963666038,"emergence_to_flower_heat_days","DTF"
0.260650472161713,-0.102103817683917,"flowering_to_maturity_heat_days","DTF"
0.190956925178088,-0.229122588489472,"full_season_heat_days","DTF"
0.0730675103005257,0.175141804558483,"sowing_to_emergence_frost_days","DTF"
0.0730675103005257,0.175141804558483,"full_season_frost_days","DTF"
-0.222435175385637,0.089716479823312,"sowing_to_emergence_dtr","DTF"
-0.279025146130387,-0.00441236377286106,"emergence_to_flower_dtr","DTF"
0.229846673109819,-0.154495436343445,"flowering_to_maturity_dtr","DTF"
-0.0652130552910965,-0.304807067688414,"full_season_dtr","DTF"
-0.125663180947918,-0.274461819594889,"sowing_to_emergence_tmean","DTF"
-0.152300823165142,-0.233811037641592,"emergence_to_flower_tmean","DTF"
0.27415246367692,-0.0562934042196027,"flowering_to_maturity_tmean","DTF"
0.0574895886760537,-0.305893626934917,"full_season_tmean","DTF"
