"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"L051",3.1375,43,23.2536482662532,91,23.944231972041,97,0.52256070919221,97,1.596875,97,0.241355932099568,87,75.2056861183151,66,96.6268571780181,38,70.8184477300253,77,34.3220521139812,87,2.85655690150915,0.0249873468825909,28,0.956077036377828,7,0.166903049638937,85,0.162941059309584,82,0.580591287431709,82,1.4154689608637,83,0.845602005895567,87,0.202312856198275,84,0.0136434972610346,84,0.715042752374607,87,0.16339275358467,82,0.929065418957285,92,0.65377646183775,90,0.111261680022544,87,0.238452026355733,89,0.21685909158379,86,3.03061812479384,49,1.01303213668646,43,0.999026535494962,46,1.1353125,49,0.73,36,1.540625,68,3.07275476699573,46,5.25,69,1782.0625,88,30.5022,91,1.1921,68,32.125,80,0.66580310880829,73,0.7557,72,0.1085,60
"L052",3.2125,39,6.14408263674553,9,6.42637865810576,10,-0.619908490068064,10,0.116875,9,0.0460088532095317,23,92.8700683978502,32,88.4279572778056,51,105.883398870146,28,6.73303389535756,23,0.437476456835085,0.0304508023027055,32,0.306383800005285,74,0.0258790934966678,19,0.093168536459787,42,0.332161826061213,42,0.61029014844804,21,0.374528422802084,23,0.0701357692128178,13,0.00163967537435788,13,0.140271539486616,23,0.0932324611530946,41,0.343770845266777,22,0.221093631910169,16,0.0466433660718212,24,0.106643952347581,26,0.0943788948190889,24,3.20243555100388,38,1.04761290809633,39,1.0446789457111,38,0.9578125,38,1.253125,52,0.6625,35,3.20809520264032,39,0.5,16.5,553.5625,21,4.8642,33,0.4588,32,17.875,26,0.449685534591195,48,0.4752,43,0.0117,18.5
"L053",3.8375,19,14.9837133550489,56,17.6318038555857,70,0.256752378393776,70,0.991875,78,0.154382821217788,66,105.75137128022,20,107.393098694318,18,116.171740733398,16,22.0387727617539,66,1.92364690560041,0.139677658524036,70,0.698026358344505,46,0.0847220508381987,53,0.1673851686657,84,0.596741364455136,84,1.13970985155195,65,0.677599512398888,66,0.126017826377218,36,0.00529349752161289,36,0.459141099203211,66,0.167389717667843,84,0.634929530414361,62,0.382657863985949,42,0.0844703032450133,69,0.193930879921047,73,0.181883692513923,70,3.77430596553479,20,1.24261636356484,19,1.23734642836086,19,0.2809375,19,0.12625,15,0.435625,27,3.80583419341502,19,0.0833,2.5,1208.7292,52.5,2.1542,17,0.3159,19,24.625,48.5,1.17261904761905,82,1.4253,85,0.0039,7
"L054",2.2875,90,6.76654849581301,11,5.65109067190699,4,-0.731576562172689,4,0.071875,4,0.0921310725651104,39,61.2988485972626,79,68.2333365510239,77,69.9395849402068,80,13.2469104135764,39,-0.0454310450095251,0.0256620184053578,29,0.00537286150003366,99,0.067022700633232,42,0.109712865594748,51,0.391113174956078,51,0.984531039136309,48,0.525335416931737,39,0.137094394454765,47,0.00626495766363954,47,0.275977300282842,39,0.111358232762578,52,0.471993230247079,33,0.434823853572724,53,0.0704917027184105,52,0.151927907003751,53,0.141180821127731,52,2.29255972920176,86,0.751249776821132,89,0.746764708403668,87,2.6290625,87,3.2825,95,1.975625,80,2.28366421395431,87,4.8333,63.5,1139.5625,48,15.8548,68,1.3806,74,27.125,65,0.321005917159763,30,0.3414,23,0.0564,44
"L055",4.1125,6,12.6106244235069,44,15.5358349867892,58,0.146828086081731,58,0.806875,65,0.24244389506253,88,107.988246668981,18,93.753019419722,45,113.27687877764,18,34.4757059601339,88,0.73685263475777,0.342561465691425,96,0.125902128394348,88,0.184715360608597,90,0.1411602204276,69,0.502795286266569,69,1.57452344804316,89,0.847492698593596,88,0.223503744338533,89,0.0166513079111148,89,0.718243874169455,88,0.142475859982835,71,0.956678012463013,97,0.690468133574529,91,0.105466122273119,82,0.218918455429038,81,0.211264312456508,83,4.06196427958399,6,1.33637293742268,5,1.32565652837044,6,0.1203125,5,0.128125,16,0.1125,8,4.08920194154746,6,10.3333,91.5,1872.0625,91,2.5377,21,0.3069,18,36.875,94,3.35227272727273,101,3.0904,100,0.8522,100
"L056",3.75,22,4.98887651569859,3,5.78150846063573,5,-0.711758782365964,5,0.105,7,0.134590437890187,57,100.461957377914,24,105.761560408461,22,131.340145019693,4,19.2434792394873,57,-0.29076139286004,0.0345086063417007,34,0.150647605215601,87,0.0780881227237002,47,0.153749247582675,79,0.548141803869112,79,1.23453103913631,74,0.633171238678227,57,0.128310389971945,40,0.00548785205825085,40,0.40090581748932,57,0.154180598629619,78,0.574665298538097,50,0.416565853895989,50,0.0808842041314714,65,0.182199883229001,66,0.168605853526404,65,3.73589569732897,21,1.22400503467352,22,1.21534564268558,22,0.4175,24,0.7225,35,0.1125,7,3.74645051920929,21,1.8333,34.5,1563,78,8.9887,46,0.6233,38,34,89,1.58139534883721,91,1.5302,87,0.0819,54
"L057",2.7625,66,13.331149196974,49,12.6165160902461,44,-0.0339622216119699,44,0.406875,40,0.0841233182938113,35,74.5435836181715,67,70.6424549779726,73,71.9577037224652,76,12.1159691180297,35,0.912767131776779,0.115413734692544,66,0.383121946165144,70,0.0783376095774127,48,0.0690436869072277,27,0.245964789264812,27,0.989427294197027,49,0.502410214159986,35,0.162178144841238,59,0.00876725022138186,59,0.252416023292283,35,0.0732920192894074,26,0.481103841577542,34,0.459474133611594,57,0.0607363900451636,36,0.121987317548462,34,0.108428763812781,34,2.7346101569598,66,0.900211472365857,66,0.894877639555958,66,1.6209375,64,1.665625,61,1.57625,69,2.74373482040634,66,8.3333,81,987.7292,44,26.012,85,1.6082,79,26.875,63,0.398148148148148,42,0.3966,33,0.1214,67
"L058",3.3625,36,33.1696297560943,104,35.7589778636199,104,0.870929079398604,104,3.731875,104,1.83607378269009,104,38.260859622833,102,54.146016360928,88,140.505201830636,1,259.545280858922,104,-3.97702273696758,0.376187376348411,98,0.79298890196864,35,0.998798656032812,104,0.575349710850577,104,2.05118308889901,104,4.58453103913631,104,2.32533725537341,104,0.434085257724706,104,0.0628100036579748,104,5.40719335122754,104,0.575501814636242,104,2.16533584579321,104,1.36751873541791,104,0.292672445273358,104,0.669138597059612,104,0.617063842884206,104,3.15463628438711,39,1.11490401025623,34,1.01189854765684,42,1.4790625,58,2.958125,87,0,1,3.21445643260675,38,0.1667,6.5,3502.25,104,131.0921,103,2.9623,100,51.25,104,1.13888888888889,80,1.1326,80,0.0037,6
"L059",3.625,28.5,6.80397636181551,12,7.70980372426977,20,-0.461754469517802,20,0.1825,20,0.248850055479913,89,90.0200956064514,36,94.2673125838931,43,122.521637020832,9,35.3804529236976,89,-0.982061266649785,-0.0090570471364293,17,0.988763317829544,3,0.154805994670012,82,0.187017128480799,90,0.666557866271737,90,1.6345310391363,92,0.858541070213709,89,0.183640745126197,74,0.011241307756835,74,0.7370927692437,89,0.187020396993494,90,0.898842553981064,86,0.565717969806183,78,0.111798586363134,88,0.24844356495168,90,0.23026787764846,90,3.61081901520582,27,1.18661617810729,26,1.17173089570427,28,0.533125,30,0.953125,41,0.113125,9,3.61869667638692,27,1.75,33,2029.8958,97,17.6234,75,0.9351,54,38.125,97,1.49509803921569,89,1.3935,84,0.0625,48
"L060",2.625,72.5,7.04161048025995,15,6.44241418486664,11,-0.617743828789862,11,0.1025,6,0.00919677603948258,6,81.4504589858634,51,78.8919108426294,60,83.5564201759299,58,1.53403591964915,6,0.688509422741196,-0.00317976046648839,8,0.865314460136698,23,0.00893367470964126,8,0.0254408716374352,9,0.0905759735558076,9,0.299240890688257,6,0.178771031376331,6,0.0511664459102279,9,0.000872668395694758,9,0.031959081659357,6,0.0260272234978787,7,0.202362132222869,9,0.147000233526147,9,0.020053900308302,7,0.0400744983374893,8,0.0371978038536003,8,2.62056301306174,70,0.856956286487089,71,0.856581963308533,70,1.869375,71,2.065625,71,1.673125,72,2.62005577665486,70,2.6667,42,257.3958,11,11.4094,57,0.9921,60,10.75,7,0.153024911032028,7,0.1894,8,0.0375,35
