"genotype","mean_BLUP","b","s2d","r2","p_slope","trait","b_class"
"L068",-0.18404504438039,-748502261453.627,1.72574071905936,0.0652393252434513,0.835572582145576,"RepP","Stable / low-input adapted"
"L069",0.256152031585473,16630527470.9469,0.298407126558129,0.525930216925771,0.274789536116741,"RepP","Responsive / high-input adapted"
"L070",1.67698356354291,9318293761.84872,1.04866193384982,0.0901734884602673,0.699710991775811,"RepP","Responsive / high-input adapted"
"L071",0.268581367440946,-44240924812.8706,0.371566061340751,0.863110250797403,0.0709627290590529,"RepP","Stable / low-input adapted"
"L072",0.162366113504151,-22256641731.7922,0.318338481586415,0.000334413045848849,0.988357508292287,"RepP","Stable / low-input adapted"
"L073",-1.46511436715096,-2988912835704.13,1.1506385328502,0.625343801101299,0.419343307435998,"RepP","Stable / low-input adapted"
"L074",-0.568212791368981,-154821299142.345,4.03333208710041,0.00127597237456573,0.977254621926326,"RepP","Stable / low-input adapted"
"L075",-0.106447811575332,60646094917.2388,2.96427200894245,0.000266667532178707,0.989603563679054,"RepP","Responsive / high-input adapted"
"L076",0.407184420333996,1510705875055.78,1.42502178872635,0.256118271883215,0.66218714303973,"RepP","Responsive / high-input adapted"
"L077",0.360493512736703,-1425443119478.18,0.121027902774527,0.783043262769764,0.308456801966481,"RepP","Stable / low-input adapted"
"L078",-1.76870450517827,-1185451771209,0.0183075398997092,0.94286361661379,0.153660288127903,"RepP","Stable / low-input adapted"
"L079",1.79241260347928,1625797460395.76,0.284247750626331,0.666566465656984,0.391894208941913,"RepP","Responsive / high-input adapted"
"L080",1.42154928411498,794335401733.429,0.852933310524113,0.137212845791084,0.758425802823097,"RepP","Responsive / high-input adapted"
"L081",-2.40055643707928,-2556452681425.01,0.652522245541151,0.682858944458368,0.380823502844672,"RepP","Stable / low-input adapted"
"L082",1.42618524002436,2122216690949.99,1.03838051601541,0.482519719181847,0.511130560552064,"RepP","Responsive / high-input adapted"
"L083",-0.117716288817206,-734865509014.581,0.102971715812855,0.529953028219257,0.480919886120498,"RepP","Stable / low-input adapted"
"L084",0.145595198301429,9684358783.69413,0.847761103702984,0.116934856989708,0.658042609394522,"RepP","Responsive / high-input adapted"
"L085",0.229449000282104,1151827679282.18,0.0326626280992713,0.897248004335369,0.207735120633509,"RepP","Responsive / high-input adapted"
"L086",0.962220678206933,3930965591494.69,0.149058875884506,0.957056390549885,0.13288865128741,"RepP","Responsive / high-input adapted"
"L087",1.61524718762387,1089804411662.99,0.00143957921192851,0.994393415869365,0.0477129149139503,"RepP","Responsive / high-input adapted"
"L088",-0.225192940543687,-893330951596.441,1.80801045051475,0.0866665538963967,0.809765857016525,"RepP","Stable / low-input adapted"
"L089",-0.270882403752179,358156128354.635,0.157137414912409,0.149294190350759,0.747446491203294,"RepP","Responsive / high-input adapted"
"L090",3.401294299111,-19833962377.4087,2.38333967163266,0.164974162938909,0.593829884237024,"RepP","Stable / low-input adapted"
"L091",-0.341445703834311,-2303697890947.28,0.160312320827264,0.876798172996525,0.228317376256707,"RepP","Stable / low-input adapted"
"L092",-1.57407814536067,-1664048511079.1,0.0301963254486557,0.951723626094901,0.14102800399645,"RepP","Stable / low-input adapted"
"L093",-0.415350243811373,9637782997.85141,1.76751283020957,0.0591808056750299,0.756728946080653,"RepP","Responsive / high-input adapted"
"L094",-1.27629902294686,508210289082.81,0.966361380525325,0.0543353934529257,0.850226407427069,"RepP","Responsive / high-input adapted"
"L095",-1.20717119076395,-2154933545361.69,0.0531526014189401,0.949448965578115,0.144368993277293,"RepP","Stable / low-input adapted"
"L096",1.31302985513518,-29189809182.9158,0.833009097848018,0.550424863824919,0.258093763454627,"RepP","Stable / low-input adapted"
"L097",-0.064034392818966,-2875050431730.76,0.178848406833429,0.908557475439319,0.195572092137911,"RepP","Stable / low-input adapted"
"L098",0.551675577512366,1086404240189.23,0.125112980405691,0.669754572500888,0.38973904799299,"RepP","Responsive / high-input adapted"
"L099",1.09141529283734,-35871781427.591,1.61183785858765,0.488643030360404,0.300969936011044,"RepP","Stable / low-input adapted"
"L100",0.691406357600671,-5045050259.23762,1.19317284902237,0.0248977880364286,0.842209670649851,"RepP","Stable / low-input adapted"
