"genotype","mean_BLUP","b","s2d","r2","p_slope","trait","b_class"
"L065",-0.0491715963065045,452245559036.525,0.0237733437520794,0.10351895091376,0.67825638947485,"DTE","Responsive / high-input adapted"
"L066",-0.00613031523464835,-316879795396.432,0.0218152091419102,0.0581855903467278,0.758783105179741,"DTE","Stable / low-input adapted"
"L067",0.0640997867777908,-858935732359.068,0.0171089464097561,0.366602175979701,0.394523182954375,"DTE","Stable / low-input adapted"
"L068",0.107863492317739,-818575162005.575,0.0201270738302602,0.308840951108674,0.444265395077224,"DTE","Stable / low-input adapted"
"L069",0.0360544512655612,-526717525875.028,0.0151442697596131,0.197356083105243,0.555752227799347,"DTE","Stable / low-input adapted"
"L070",-0.040047276944756,311132176247.077,0.00431832062929026,0.231290425862623,0.519073367484579,"DTE","Responsive / high-input adapted"
"L071",-0.0367329477207292,225134637154.986,0.000237129018969498,0.74153076917333,0.138878191442506,"DTE","Responsive / high-input adapted"
"L072",0.0232458099590173,-180160049986.88,0.000562588830469753,0.436418418057406,0.339380277271859,"DTE","Stable / low-input adapted"
"L073",-0.0130677741077315,-179345537123.45,0.00214436618938944,0.167587360295705,0.590625647730949,"DTE","Stable / low-input adapted"
"L074",0.106008029667896,-1507807011063.54,0.0163439373236573,0.651209053229891,0.193024750546901,"DTE","Stable / low-input adapted"
"L075",-0.0657202395389255,1138605149264.91,0.0585147245971523,0.229211639158923,0.521239476189899,"DTE","Responsive / high-input adapted"
"L076",-0.0532111210379962,303449249989.166,0.00150656332450471,0.450658491638821,0.328688975482436,"DTE","Responsive / high-input adapted"
"L077",-0.00898315526315302,32232859064.0552,0.0054612793722022,0.00254692487933588,0.949532932725035,"DTE","Responsive / high-input adapted"
"L078",-0.0408558625156038,491539859979.9,0.00138037834650926,0.701430758752439,0.162485368036809,"DTE","Responsive / high-input adapted"
"L079",-0.105889133340677,966907886229.658,0.0633876527894599,0.165250283050151,0.593490119369589,"DTE","Responsive / high-input adapted"
"L080",0.0235138517456814,-219364358845.426,0.002670282040785,0.194767572891822,0.55867520702795,"DTE","Stable / low-input adapted"
"L081",-0.0106565769549105,-89028548575.1946,0.00351296798257947,0.0293932822286725,0.828555308543331,"DTE","Stable / low-input adapted"
"L082",-0.10633107729114,1071996668063.54,0.0829778113914652,0.156748202105998,0.60408561265597,"DTE","Responsive / high-input adapted"
"L083",0.0319376412270424,-890523373122.032,0.00972621250793047,0.522531234054424,0.277136780535609,"DTE","Stable / low-input adapted"
"L084",-0.0233136206660915,255444308698.889,0.0010706181914366,0.449959205631543,0.329210013766199,"DTE","Responsive / high-input adapted"
"L085",-0.0440707400757523,152779677832.658,0.0102354807958951,0.0296995296212967,0.827664485316298,"DTE","Responsive / high-input adapted"
"L086",-0.042911351243217,323269083888.174,0.00325286500494507,0.301287548915685,0.451103334938456,"DTE","Responsive / high-input adapted"
"L087",-0.0242932426636973,-50641373682.2804,0.000513890771293719,0.0627773948108977,0.749445824598955,"DTE","Stable / low-input adapted"
"L088",0.00763527214695445,-428975054797.848,0.000168759787036514,0.936044073787197,0.0325062926368992,"DTE","Stable / low-input adapted"
"L089",-0.0749679563952803,667383780268.044,0.00103782978628561,0.852077703719529,0.0769194489539229,"DTE","Responsive / high-input adapted"
"L090",-0.0224773704957279,-100980016950.269,0.0143590683237761,0.00944158926602926,0.902832159301396,"DTE","Stable / low-input adapted"
"L091",0.103686348736174,-400512345358.744,0.00792646611729557,0.213605747813547,0.537824981404721,"DTE","Stable / low-input adapted"
"L092",-0.0796181237462801,549571014078.636,0.0141752485147656,0.22238360319474,0.528424339904252,"DTE","Responsive / high-input adapted"
"L093",0.0730926145742957,-1153447753297.41,0.00863843915129378,0.673968973956809,0.179043865997209,"DTE","Stable / low-input adapted"
"L094",0.0854382064654649,-386852885629.614,0.00135150870309359,0.597788588362164,0.226832108554575,"DTE","Stable / low-input adapted"
"L095",-0.0286515891447897,72720011449.1797,0.0127572487289597,0.00553301212832268,0.925615780381033,"DTE","Responsive / high-input adapted"
"L096",-0.0810695142724636,578741960615.928,0.0268993620499302,0.143195705609552,0.621587915613743,"DTE","Responsive / high-input adapted"
"L097",-0.0358016769152919,286003978661.705,0.00699697524497312,0.135629495940254,0.631720899397951,"DTE","Responsive / high-input adapted"
"L098",-0.0285615528384945,110348710205.853,0.00384936237980883,0.0407293320004752,0.798184906410657,"DTE","Responsive / high-input adapted"
"L099",-0.0164221384849018,46392188626.8502,0.00308162689865156,0.0092870525439659,0.903630645203125,"DTE","Responsive / high-input adapted"
"L100",0.0991063772263538,-80260668165.3757,0.0287469929842598,0.00299867398434142,0.94523985039884,"DTE","Stable / low-input adapted"
