"Comp 1","Comp 2","variable","trait"
-0.0115960826273088,0.0433065917648333,"sowing_to_emergence_GDD","PRT"
0.14573652573074,0.308508807156499,"emergence_to_flower_GDD","PRT"
-0.235161985483984,0.218637926705415,"flowering_to_maturity_GDD","PRT"
0.205688853897313,0.263707441774039,"full_season_GDD","PRT"
-0.165343289867903,0.12449609194902,"sowing_to_emergence_precip_total","PRT"
-0.144466169419338,0.00453408155698013,"emergence_to_flower_precip_total","PRT"
0.262575852112816,0.145884215493158,"flowering_to_maturity_precip_total","PRT"
0.265809879229539,0.0618476908749485,"full_season_precip_total","PRT"
0.200127252637403,-0.146825822959324,"sowing_to_emergence_mean_rad","PRT"
0.117956562491721,0.287249263541397,"emergence_to_flower_mean_rad","PRT"
-0.0104357953221858,-0.364552278676542,"flowering_to_maturity_mean_rad","PRT"
0.142582137046141,-0.317678027389142,"full_season_mean_rad","PRT"
0.158685545911768,-0.0305748927235885,"sowing_to_emergence_VPD","PRT"
0.183211299019412,0.210158062756995,"emergence_to_flower_VPD","PRT"
-0.274963650377872,-0.0903374817486809,"flowering_to_maturity_VPD","PRT"
-0.193387239419322,0.144704635098127,"full_season_VPD","PRT"
-0.108901732298795,0.25898876236935,"emergence_to_flower_heat_days","PRT"
-0.278092123233667,-0.0635397107095531,"flowering_to_maturity_heat_days","PRT"
-0.261459784004303,0.111885713361551,"full_season_heat_days","PRT"
-0.00658047026111817,-0.384124977436788,"sowing_to_emergence_frost_days","PRT"
-0.00658047026111817,-0.384124977436788,"full_season_frost_days","PRT"
0.230774534945199,-0.192064539496238,"sowing_to_emergence_dtr","PRT"
0.251511564243881,0.06640767196042,"emergence_to_flower_dtr","PRT"
-0.272212785991675,-0.0830905604685849,"flowering_to_maturity_dtr","PRT"
-0.0622570504246766,0.0870664753246691,"full_season_dtr","PRT"
0.00375459224184681,0.0632759783462558,"sowing_to_emergence_tmean","PRT"
0.0510619624274288,0.284767454923564,"emergence_to_flower_tmean","PRT"
-0.271323156829498,-0.052468563351569,"flowering_to_maturity_tmean","PRT"
-0.169767367473304,0.19802751155832,"full_season_tmean","PRT"
