"","Clavet.2024","Clavet.2025","Hunter.2024","Hunter.2025"
"Clavet.2024",1,-0.403046020303077,-0.29988429245777,-0.558997118317965
"Clavet.2025",-0.403046020303077,1,-0.51718440798078,0.116047040656696
"Hunter.2024",-0.29988429245777,-0.51718440798078,1,-0.283425539402935
"Hunter.2025",-0.558997118317965,0.116047040656696,-0.283425539402935,1
