"Comp 1","Comp 2","variable","trait"
0.0438204799330627,-0.369880365698222,"sowing_to_emergence_GDD","RepP"
-0.0989555219514779,-0.156398672150553,"emergence_to_flower_GDD","RepP"
0.260583991958109,0.00743155909014102,"flowering_to_maturity_GDD","RepP"
-0.168982657108344,-0.0921621812047438,"full_season_GDD","RepP"
0.199223158653262,-0.258618187945462,"sowing_to_emergence_precip_total","RepP"
0.120421651755203,0.33992552563917,"emergence_to_flower_precip_total","RepP"
-0.243173976657874,-0.0444205322043294,"flowering_to_maturity_precip_total","RepP"
-0.265029763566664,0.0765276123210002,"full_season_precip_total","RepP"
-0.199349490542468,-0.249529942863035,"sowing_to_emergence_mean_rad","RepP"
-0.0686430696102554,-0.223270445045085,"emergence_to_flower_mean_rad","RepP"
-0.0428738203390353,0.151765174750972,"flowering_to_maturity_mean_rad","RepP"
-0.169685026014582,-0.136955871915415,"full_season_mean_rad","RepP"
-0.138550173744661,-0.328285897623102,"sowing_to_emergence_VPD","RepP"
-0.142499860154705,-0.230131339462363,"emergence_to_flower_VPD","RepP"
0.263053658555934,0.0304208836726987,"flowering_to_maturity_VPD","RepP"
0.226228185247162,-0.211573101612632,"full_season_VPD","RepP"
0.15620402374949,-0.231653684275554,"emergence_to_flower_heat_days","RepP"
0.266904976094732,0.0629064282462534,"flowering_to_maturity_heat_days","RepP"
0.27960998241363,-0.0607107004519353,"full_season_heat_days","RepP"
-0.0450624764485605,0.0981119304019483,"sowing_to_emergence_frost_days","RepP"
-0.0450624764485605,0.0981119304019483,"full_season_frost_days","RepP"
-0.242943244117373,-0.145772337930909,"sowing_to_emergence_dtr","RepP"
-0.230457285355993,-0.191641935768376,"emergence_to_flower_dtr","RepP"
0.265210678125873,-0.0250619133129784,"flowering_to_maturity_dtr","RepP"
0.0980534488388015,-0.347621592910707,"full_season_dtr","RepP"
0.0307317488385297,-0.369806196192641,"sowing_to_emergence_tmean","RepP"
0.000891886235507076,-0.260529446449195,"emergence_to_flower_tmean","RepP"
0.256667850822055,0.127277043033085,"flowering_to_maturity_tmean","RepP"
0.208789790186238,-0.212631386422276,"full_season_tmean","RepP"
