"Comp 1","Comp 2","variable","trait"
0.091836709478585,-0.224567574959879,"sowing_to_emergence_GDD","lodging"
0.20875596093838,-0.155839610370155,"emergence_to_flower_GDD","lodging"
-0.172741782953906,-0.213540362289329,"flowering_to_maturity_GDD","lodging"
0.237225152006834,-0.0709635821526961,"full_season_GDD","lodging"
-0.0573104555530049,-0.278278171369361,"sowing_to_emergence_precip_total","lodging"
-0.211125388955578,0.109373612873283,"emergence_to_flower_precip_total","lodging"
0.257065964330066,0.0375249967006606,"flowering_to_maturity_precip_total","lodging"
0.216732206042692,0.143201080491753,"full_season_precip_total","lodging"
0.215440360730368,0.0328127707508072,"sowing_to_emergence_mean_rad","lodging"
0.199254978913184,-0.195547679067738,"emergence_to_flower_mean_rad","lodging"
-0.0994681429466316,0.246047736586894,"flowering_to_maturity_mean_rad","lodging"
0.11296972954574,0.144467794367675,"full_season_mean_rad","lodging"
0.216640283788881,-0.0840008099774587,"sowing_to_emergence_VPD","lodging"
0.246121060771715,-0.131228274088552,"emergence_to_flower_VPD","lodging"
-0.256251392635413,-0.0769953490377954,"flowering_to_maturity_VPD","lodging"
-0.0906763437052772,-0.276217189091724,"full_season_VPD","lodging"
0.00300351290955939,-0.29859370841415,"emergence_to_flower_heat_days","lodging"
-0.263568518823015,-0.0735552192609312,"flowering_to_maturity_heat_days","lodging"
-0.192665449258356,-0.213414523012545,"full_season_heat_days","lodging"
-0.0850360545445163,0.228231521615513,"sowing_to_emergence_frost_days","lodging"
-0.0850360545445163,0.228231521615513,"full_season_frost_days","lodging"
0.208505990082959,0.124695120036423,"sowing_to_emergence_dtr","lodging"
0.274492189947028,-0.0100247408049884,"emergence_to_flower_dtr","lodging"
-0.238521364885644,-0.108819552644989,"flowering_to_maturity_dtr","lodging"
0.0488090098497491,-0.257918002695885,"full_season_dtr","lodging"
0.107783035228219,-0.226263156467297,"sowing_to_emergence_tmean","lodging"
0.151207593047233,-0.247344427300756,"emergence_to_flower_tmean","lodging"
-0.272862246266172,-0.0407941415614879,"flowering_to_maturity_tmean","lodging"
-0.0626592286784207,-0.289971861439389,"full_season_tmean","lodging"
