"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"L054",929.535,60,49.6066110871255,54,49.2052986454218,47,0.00862185742804921,47,637869.54385,41,6425.16941832431,44,73.5239088319981,70,95.4293421079318,42,56.0959572884992,94,403170.882801553,44,0.978055656201869,7774.99408987139,80,0.970390475035264,82,36.456718555608,70,0.615384966850942,11,2.38662325883036,11,220.028281578947,38,138.559061294239,44,0.267357128992299,93,0.0238266114743349,93,19198.6134667406,44,0.7781965870206,16,7.15891773664472,24,7.79918550607243,58,0.045337446895639,25,1.30499347560613,22,1.19072716642605,20,751.697416399242,58,0.965823631135089,58,0.954922666277362,59,78792.696359375,62,101065.87900625,58,56519.5137125,60,835.96575763699,58,4,31,984.25,49,26.2067,74,1.1732,61,22.25,45.5,0.38034188034188,35,0.483,40,0.0711,26
"L055",832.01,80,50.9343507387468,60,48.2126806857823,43,-0.00907932771688191,43,538765.64685,28,5561.57462330991,38,77.5011102457144,63,74.0718681264787,83,77.2316402970668,62,349852.540157367,38,0.90343858935954,3644.63482099688,67,0.980276590188608,72,18.1641496140952,45,1.29178101563583,29,5.008195976142,29,207.633332894736,35,129.072246317318,38,0.142436365497757,46,0.00676270607207018,46,16659.6447693984,38,1.29288306693267,29,13.3009015385687,62,5.8584391740802,42,0.0576087613806071,36,1.85769698169562,32,1.73955298016033,34,681.815654545657,73,0.863236701487135,79,0.861346508311209,79,119538.527346875,78,172305.76053125,82,66771.2941625,68,753.001084454584,79,5.8333,43,997.5833,51,14.5385,56,1.3077,68,22.75,49,0.313793103448276,27,0.3647,25,0.0778,28.5
"L056",779.40625,90,50.7681021121655,59,46.7484143962856,34,-0.0358681163826424,34,469711.16056875,20,6601.83068621055,45,70.1758308832458,78,77.4662812908138,78,63.2153669255579,82,414077.949480842,45,0.847715992860417,687.573839789989,21,0.989967933320973,52,15.7465569599214,36,2.3625138698081,55,9.16384766440557,55,220.725323684209,39,140.420787614676,45,0.121424948189988,34,0.00491467268098044,34,19717.9975943258,45,2.36624598185405,55,9.47293542359314,39,5.78405142881993,41,0.0734945757276104,46,2.63951186067804,50,2.47534635491108,50,624.309846543071,85,0.803282685440223,85,0.799606962534376,84,148561.64814375,89,210136.32603125,88,86986.97025625,84,699.792149248856,84,7.5,50,767.3333,36,7.8889,35,1.1111,57,21,38,0.245614035087719,19,0.289,18,0.0904,35
"L057",953.9,58,60.2976784103915,92,60.4667752205774,96,0.187631728691796,96,992494.55925,95,17404.4278831649,82,73.6651227085484,69,85.3327174399597,66,76.5353734041599,65,1081030.30042082,82,1.22713690253379,7378.75412879218,79,0.981768631281579,69,38.6935385613842,75,3.81302633868092,86,14.7899184566458,86,384.923009210527,82,226.886829396006,82,0.173891347787472,58,0.0100794002784478,58,51477.6333533724,82,3.81336044880498,85,16.5487268873371,76,8.74856678032011,69,0.123106692797751,84,4.43977246559645,87,4.01736545270734,86,732.13763683665,65,0.95907046673178,60,0.950173184720072,60,65327.730890625,53,63191.1584,42,67464.30338125,69,825.152336705617,61,12,80,1632.9167,78,43.5371,92,1.6571,78,23.25,53.5,0.36046511627907,31,0.6113,57,0.2096,65
"L058",606.8525,100,69.9482615761153,100,57.9524436224199,92,0.150741619622733,92,540556.876475,29,10183.1949958887,62,27.3948507325363,100,58.4521777315983,99,39.7253845067843,100,635191.381960381,62,0.894323397351229,9841.99996695322,86,0.957412389077064,89,29.8839044042662,64,2.36812989142648,56,9.18450839062711,56,282.741990789473,56,173.917246599583,62,0.183430094691883,66,0.0112155332128911,66,30247.2086647801,62,2.37514502355029,56,14.8249043818643,66,9.27939805412666,75,0.0980373899226935,65,3.3126619002664,65,3.16057673970597,68,389.0642722311,100,0.581076001296513,100,0.539885814577914,100,253306.864159375,100,318008.21235625,98,188605.5159625,100,482.857154847303,100,9.3333,61.5,995.6667,50,11.3333,45,3.3333,99,22.5,47,0.226130653266332,14,0.2788,17,0.0952,36
"L059",833.37375,79,55.9249769176341,80,52.9732467081871,69,0.0727112962916501,69,651647.17251875,43,2414.71629123643,20,71.9799717690518,72,77.9552910805563,76,71.3004469256965,72,155565.506735152,20,0.997812685229406,2033.87973167564,56,0.988636817930386,57,8.40562695255915,20,0.813347721162153,20,3.15313010462715,20,156.756718421053,23,86.0690494492793,20,0.0995251495022691,20,0.00330175179448301,20,7407.88127310248,20,0.81609272120563,19,8.84355219842189,35,4.16317821036376,21,0.0374988234891542,18,1.18219729357741,16,1.00725323519043,16,655.472299358128,80,0.848393273092444,80,0.843844426583292,80,115326.64318125,77,149385.11940625,76,81268.16695625,81,735.978728779267,80,1.1667,8,485.5833,22,17.4632,65,1.5579,76,17.25,26,0.215625,12,0.247,12,0.0151,6
"L060",973.71177631579,51,59.146557687236,90,59.8293925390556,95,0.178427300088447,95,995041.163979969,96,16626.5035455704,78,71.3239133737359,75,100.202071232089,31,67.8748155441347,78,1033001.25181773,78,1.2308719717007,5681.73571733039,74,0.985226241918485,66,51.4998302660518,87,2.93645321152942,75,11.3887014142348,75,410.506781578948,83,221.789395149643,78,0.251227648777104,85,0.0210384438366906,85,49190.5358008444,78,2.95160190440382,75,18.4674385521127,86,12.3752340558275,93,0.124642822466889,86,4.17567656018291,80,3.73115065016517,80,737.544613047257,63,0.976601112731366,56,0.963550230329087,56,57108.9048077909,48,44259.4247530818,31,69958.3848625,71,837.316379966353,57,7.1667,47.5,1817.6667,87,40.7462,89,1.5228,75,34.5,87.5,0.669902912621359,69,0.7135,64,0.1385,46
"L061",1071.20375,27,52.5522850855922,68,55.3441746207655,79,0.1107419432322,79,950711.25006875,89,16270.2387260556,77,92.8047153788984,34,96.4900944706705,40,83.1589799467556,57,1011005.4618609,77,1.1974269839107,9792.48832043549,85,0.975889627221364,77,41.9921074104931,77,3.46369904157419,81,13.4348033252312,81,348.625509210527,69,219.41539880207,77,0.20828423306272,80,0.0144607739141752,80,48143.1172314715,77,3.47137863462367,81,16.0761060050602,72,10.7292237401686,87,0.124098940674782,85,4.33078373327744,83,3.9723252033492,84,875.430601688325,33,1.10872942885659,30,1.10340829341556,30,30287.7672625,24,31731.7463125,19,28843.7882125,39,961.647462179924,31,8.3333,55.5,1617.5833,77,14.9647,58,0.8339,47,29.25,74,1.00862068965517,81,1.1514,81,0.2755,78
"L062",1016.67625,39,52.8158390224597,69,54.408385126053,75,0.0959297852797384,75,864997.75051875,78,6106.6538741446,41,93.2128133388634,33,103.79772526258,25,87.6371478887422,49,383505.733103903,41,1.15428438606387,-238.744862669172,9,0.996694169116538,24,14.8384995962964,34,2.26784119308665,52,8.79665000202993,52,233.64467631579,43,135.137625281979,41,0.120172404942985,33,0.00481380230326022,33,18262.1777668525,41,2.27224222398082,52,8.98131665207886,37,5.3359415804288,32,0.0678738365671247,43,2.45021973538768,45,2.24910182584056,46,821.494035256554,46,1.0459993836135,41,1.04396619647402,40,42409.4167375,35,43602.015025,30,41216.81845,51,908.471670203182,43,6.6667,45.5,837.6667,39.5,6.1046,28,0.5523,28,23,51.5,0.58974358974359,63,0.6076,56,0.1616,57
"L063",992.12,44,51.6096583492034,62,52.619885181125,66,0.0668979055364249,66,786523.37135,69,9324.20083101667,59,78.6074185735283,58,97.4334984136678,37,60.2136480614121,87,582157.082221193,59,1.08633658322031,9780.73827041998,84,0.970886430870241,80,42.5887157641225,78,1.6610185669229,41,6.44252685376981,41,291.011718421054,59,166.498545999828,59,0.274741523793412,94,0.0251609682987753,94,27721.7658200568,59,1.72644281190938,42,10.1214408266593,43,9.94973007145351,83,0.078447540837784,51,2.51438385144521,47,2.28796162260948,47,805.201370388324,50,1.02894934163315,48,1.01772997575038,49,51251.763353125,41,60654.25868125,40,41849.268025,52,889.69002703192,49,1.8333,12,1250.9167,62,26.5455,76,1.1636,60,27.25,67.5,0.633720930232558,66,0.6659,62,0.0399,15
