genotype,mean_BLUP,b,s2d,r2,p_slope,reliable,trait,b_class
L066,13.7996466,0.960999456,0.012442565,0.99809206,0.000954426,TRUE,DTE,Average
L067,13.8698767,0.948076038,0.008009123,0.998737357,0.000631521,TRUE,DTE,Average
L068,13.9136404,0.941162828,0.0047217,0.999244262,0.00037794,TRUE,DTE,Average
L069,13.84183136,0.96133823,0.00833302,0.99872231,0.000639049,TRUE,DTE,Average
L070,13.76572963,1.00142081,0.005603395,0.999207855,0.000396151,TRUE,DTE,Average
L071,13.76904396,1.009041047,0.000341324,0.999952438,2.37812393758435e-05,TRUE,DTE,Average
L072,13.82902272,0.988493907,6.51449882334974e-05,0.999990541,4.72966638218397e-06,TRUE,DTE,Average
L073,13.79270914,1.003171041,0.002505214,0.999646921,0.000176555,TRUE,DTE,Average
L074,13.91178494,0.925419188,0.007655443,0.998733301,0.00063355,TRUE,DTE,Average
L075,13.74005667,1.080868156,0.029823533,0.996391107,0.001806078,TRUE,DTE,Average
L076,13.75256579,1.01904807,0.00018525,0.99997469,1.26549745160186e-05,TRUE,DTE,Average
L077,13.79679376,1.016659179,0.003519189,0.99951715,0.000241454,TRUE,DTE,Average
L078,13.76492105,1.023924268,0.00058921,0.999920268,3.98665655462378e-05,TRUE,DTE,Average
L079,13.69988778,1.083284217,0.027048953,0.996740296,0.001631183,TRUE,DTE,Average
L080,13.82929076,1.000580544,0.003313788,0.999530596,0.00023473,TRUE,DTE,Average
L081,13.79512033,1.009211917,0.003021259,0.999579301,0.000210371,TRUE,DTE,Average
L082,13.69944583,1.094898103,0.034929838,0.995882932,0.002060657,TRUE,DTE,Average
L083,13.83771455,0.949619277,0.002480863,0.99960982,0.000195109,TRUE,DTE,Average
L084,13.78246329,1.01223121,0.000892027,0.999876492,6.17559693875039e-05,TRUE,DTE,Average
L085,13.76170617,1.025056576,0.006123779,0.999173781,0.000413195,TRUE,DTE,Average
L086,13.76286556,1.023620796,0.000723106,0.999902093,4.89544652836663e-05,TRUE,DTE,Average
L087,13.78148367,1.002869925,0.000490261,0.999930843,3.45793179363726e-05,TRUE,DTE,Average
L088,13.81341218,0.985426686,0.001141812,0.999833197,8.34050230204656e-05,TRUE,DTE,Average
L089,13.73080895,1.019350709,0.004376902,0.999402703,0.000298693,TRUE,DTE,Average
L090,13.78329954,1.019775011,0.011739783,0.998400859,0.000799891,TRUE,DTE,Average
L091,13.90946326,0.970764076,0.004055255,0.999389822,0.000305135,TRUE,DTE,Average
L092,13.72615879,1.043049811,0.005167034,0.999326606,0.000336754,TRUE,DTE,Average
L093,13.87886953,0.943154648,0.003720707,0.999406894,0.000296597,TRUE,DTE,Average
L094,13.89121512,0.990175946,0.002679972,0.999612325,0.000193856,TRUE,DTE,Average
L095,13.77712532,0.982288957,0.010617385,0.998441194,0.000779707,TRUE,DTE,Average
L096,13.7247074,1.052766599,0.011770985,0.998495385,0.00075259,TRUE,DTE,Average
L097,13.76997523,0.996660827,0.008016293,0.998856299,0.000572014,TRUE,DTE,Average
L098,13.77721536,1.016954717,0.001986749,0.999727509,0.000136255,TRUE,DTE,Average
L099,13.78935477,0.994097399,0.002864955,0.999588839,0.000205602,TRUE,DTE,Average
L100,13.90488329,0.961928458,0.018617703,0.997153357,0.001424336,TRUE,DTE,Average
CL1,51.42421188,1.00437153,0.103898643,0.994192457,0.002908,TRUE,DTF,Average
CL2,53.55757163,1.057592373,0.030432887,0.99845923,0.000770682,TRUE,DTF,Average
CL3,54.09236009,0.905927894,0.01533939,0.998941084,0.000529598,TRUE,DTF,Average
Extra,51.41513242,1.068081098,0.004125791,0.999794926,0.000102542,TRUE,DTF,Average
L001,55.79026188,0.913042389,0.617375091,0.95969122,0.020361689,TRUE,DTF,Average
L002,52.77620304,0.982525881,0.693738026,0.960838544,0.019776278,TRUE,DTF,Average
L003,51.3512381,1.100120725,0.029648607,0.998612537,0.000693972,TRUE,DTF,Average
L004,51.16740283,1.029669736,0.061819388,0.996703934,0.001649393,TRUE,DTF,Average
L005,52.48322948,1.135222584,0.212403359,0.990738966,0.004641288,TRUE,DTF,Average
L006,54.98321931,0.915710878,0.56173159,0.963396869,0.018472176,TRUE,DTF,Average
L007,53.93800946,0.785794019,0.186722558,0.983138547,0.008466568,TRUE,DTF,Stable
L008,52.14013702,1.09642779,0.172860698,0.991910723,0.004052851,TRUE,DTF,Average
L009,51.88759608,0.990092986,0.104501368,0.993990296,0.00300938,TRUE,DTF,Average
L010,54.46491027,0.702595033,0.293097179,0.96742244,0.016423648,TRUE,DTF,Stable
L011,54.54512774,0.777110501,0.752410752,0.934000953,0.033562753,TRUE,DTF,Stable
L012,55.85188546,0.8695842,0.258591767,0.9809739,0.009558735,TRUE,DTF,Average
L013,52.60351519,1.114870889,0.025375738,0.998843441,0.000578447,TRUE,DTF,Average
L014,53.37864837,1.012222082,0.304614979,0.983417933,0.008325692,TRUE,DTF,Average
L015,50.53896475,0.928882247,0.935234728,0.942085096,0.029389318,TRUE,DTF,Average
L016,52.0632895,1.050156426,0.033666354,0.998271626,0.000864561,TRUE,DTF,Average
L017,52.0558315,1.14402252,0.087013644,0.996243489,0.001880023,TRUE,DTF,Average
L018,52.17759386,0.964127454,0.007723992,0.999528948,0.000235554,TRUE,DTF,Average
L019,53.4016534,0.846083842,0.078565501,0.993813983,0.003097807,TRUE,DTF,Average
L020,54.83531056,1.028302072,0.532293993,0.97224217,0.013976587,TRUE,DTF,Average
L021,52.23147021,0.88701542,0.059175613,0.995752506,0.002126007,TRUE,DTF,Average
L022,54.59772971,0.993593248,0.110856032,0.993671717,0.003169163,TRUE,DTF,Average
L023,52.51532293,0.967691182,0.132366239,0.992046894,0.003984491,TRUE,DTF,Average
L024,53.66685324,1.010713155,0.637739968,0.965803818,0.017246818,TRUE,DTF,Average
L025,53.10219205,1.027652498,0.023325737,0.998748877,0.000625757,TRUE,DTF,Average
L026,55.16812315,1.006633118,0.695704039,0.962520566,0.018918675,TRUE,DTF,Average
L027,52.07223456,1.004608565,0.265827131,0.985281392,0.007386585,TRUE,DTF,Average
L028,53.14780017,1.100174826,0.682120492,0.969027608,0.015608001,TRUE,DTF,Average
L029,52.65290484,0.827454207,0.467142096,0.962745935,0.018803824,TRUE,DTF,Average
L030,56.30323402,1.218013668,0.926612901,0.965788132,0.017254798,TRUE,DTF,Responsive
L031,50.53741702,1.108936009,0.481790075,0.978262912,0.010928258,TRUE,DTF,Average
L032,52.72961804,1.042732568,0.073615552,0.996174747,0.001914459,TRUE,DTF,Average
L033,53.76356272,0.943919838,0.619354428,0.962070525,0.019148062,TRUE,DTF,Average
L034,51.8283015,1.077646679,0.07469573,0.996365351,0.001818979,TRUE,DTF,Average
L035,51.85085492,1.030657293,0.109714941,0.994176266,0.002916119,TRUE,DTF,Average
L036,52.4090892,0.980619217,0.04846398,0.997149772,0.001426131,TRUE,DTF,Average
L037,54.92521053,0.937828261,0.908191968,0.944675851,0.028055634,TRUE,DTF,Average
L038,53.99897883,1.09006298,0.126818615,0.99398328,0.003012899,TRUE,DTF,Average
L039,50.2046199,1.031304306,0.50486406,0.973784123,0.013194992,TRUE,DTF,Average
L040,52.96651159,0.971432414,0.08629785,0.994840245,0.002583214,TRUE,DTF,Average
L041,52.81000626,0.977936978,0.037334311,0.997790842,0.00110519,TRUE,DTF,Average
L042,53.66258177,0.921065799,0.350873256,0.977080754,0.011526048,TRUE,DTF,Average
L043,52.28873397,0.984958582,0.137256853,0.992039725,0.00398809,TRUE,DTF,Average
L044,55.11777407,0.94652043,0.071796746,0.995475441,0.002264844,TRUE,DTF,Average
L045,51.98567523,1.095019714,0.065857302,0.996894652,0.001553881,TRUE,DTF,Average
L046,52.9803489,1.001005178,0.376791017,0.979118389,0.010495887,TRUE,DTF,Average
L047,51.74614879,1.003711381,0.135067592,0.992453518,0.003780387,TRUE,DTF,Average
L048,51.8666713,0.96577346,0.170906743,0.989714638,0.005155973,TRUE,DTF,Average
L049,54.68934711,0.944101761,0.070199925,0.995553029,0.002225963,TRUE,DTF,Average
L050,51.37527509,1.256184443,0.747105621,0.973850207,0.013161509,TRUE,DTF,Responsive
L051,52.26980578,0.989880136,0.002959246,0.999828745,8.56309832076214e-05,TRUE,DTF,Average
L052,53.81478621,0.970595794,0.135777176,0.991891972,0.004062265,TRUE,DTF,Average
L053,52.47644321,0.971190947,0.196296455,0.988334375,0.005849923,TRUE,DTF,Average
L054,52.70410032,0.86473931,0.13015714,0.990224652,0.004899677,TRUE,DTF,Average
L055,52.47352332,1.081900726,0.175964075,0.991545986,0.004235979,TRUE,DTF,Average
L056,52.77032096,1.122567949,0.121773942,0.99454925,0.002729099,TRUE,DTF,Average
L057,52.33876789,0.987809262,0.27917635,0.984032288,0.008015984,TRUE,DTF,Average
L058,54.89983558,0.84122855,0.396192344,0.96922462,0.015507938,TRUE,DTF,Average
L059,53.69287947,0.927267566,0.034352952,0.997739149,0.001131065,TRUE,DTF,Average
L060,50.1531142,1.141072051,1.844800931,0.925619867,0.037908597,TRUE,DTF,Average
L061,53.28327377,1.029854226,0.022413028,0.998802902,0.000598728,TRUE,DTF,Average
L062,52.35009351,1.225015542,0.114104524,0.995706102,0.002149259,TRUE,DTF,Responsive
L063,51.3005473,1.130739482,0.174080381,0.992337245,0.003838745,TRUE,DTF,Average
L064,51.66023323,1.16782605,0.115141484,0.995234572,0.002385559,TRUE,DTF,Average
L065,52.15741187,1.009655146,0.028647129,0.998408729,0.000795952,TRUE,DTF,Average
