"Lentil","PredictedMean","BLUP","Trait","ENV","grand_mean"
"CL1",14.6986596839288,0.0184528421007215,"DTE","Clavet_2024",14.6802068418281
"CL2",14.6635774888543,-0.0166293529737516,"DTE","Clavet_2024",14.6802068418281
"CL3",14.663977791061,-0.0162290507670981,"DTE","Clavet_2024",14.6802068418281
"Extra",14.673322772365,-0.00688406946304099,"DTE","Clavet_2024",14.6802068418281
"L001",14.6712814766447,-0.00892536518332676,"DTE","Clavet_2024",14.6802068418281
"L002",14.6704765510655,-0.00973029076250853,"DTE","Clavet_2024",14.6802068418281
"L003",14.6530253817976,-0.0271814600305049,"DTE","Clavet_2024",14.6802068418281
"L004",14.7227772021285,0.0425703603004486,"DTE","Clavet_2024",14.6802068418281
"L005",14.6671710342928,-0.0130358075352284,"DTE","Clavet_2024",14.6802068418281
"L006",14.826437760384,0.146230918555986,"DTE","Clavet_2024",14.6802068418281
"L007",14.6533452738816,-0.0268615679464297,"DTE","Clavet_2024",14.6802068418281
"L008",14.6606076905816,-0.0195991512464637,"DTE","Clavet_2024",14.6802068418281
"L009",14.6779875384542,-0.00221930337389509,"DTE","Clavet_2024",14.6802068418281
"L010",14.7214200147862,0.0412131729581553,"DTE","Clavet_2024",14.6802068418281
"L011",14.6589174128431,-0.0212894289849999,"DTE","Clavet_2024",14.6802068418281
"L012",14.8284786191849,0.148271777356857,"DTE","Clavet_2024",14.6802068418281
"L013",14.6756246367121,-0.0045822051159341,"DTE","Clavet_2024",14.6802068418281
"L014",14.6609917555166,-0.0192150863114193,"DTE","Clavet_2024",14.6802068418281
"L015",14.7426889704981,0.0624821286700232,"DTE","Clavet_2024",14.6802068418281
"L016",14.6420728589259,-0.0381339829021989,"DTE","Clavet_2024",14.6802068418281
"L017",14.6721250591675,-0.0080817826605255,"DTE","Clavet_2024",14.6802068418281
"L018",14.6759938374022,-0.00421300442588546,"DTE","Clavet_2024",14.6802068418281
"L019",14.6580448149205,-0.0221620269075089,"DTE","Clavet_2024",14.6802068418281
"L020",14.7121838558282,0.0319770140001765,"DTE","Clavet_2024",14.6802068418281
"L021",14.7492690153628,0.0690621735347747,"DTE","Clavet_2024",14.6802068418281
"L022",14.6460144093882,-0.0341924324398661,"DTE","Clavet_2024",14.6802068418281
"L023",14.6744636810311,-0.00574316079693915,"DTE","Clavet_2024",14.6802068418281
"L024",14.6750871901595,-0.00511965166860051,"DTE","Clavet_2024",14.6802068418281
"L025",14.7186209001381,0.0384140583100674,"DTE","Clavet_2024",14.6802068418281
"L026",14.6449837930237,-0.0352230488043155,"DTE","Clavet_2024",14.6802068418281
"L027",14.7322950732928,0.0520882314647331,"DTE","Clavet_2024",14.6802068418281
"L028",14.6546246929719,-0.0255821488561132,"DTE","Clavet_2024",14.6802068418281
"L029",14.6737933266357,-0.00641351519232103,"DTE","Clavet_2024",14.6802068418281
"L030",14.6676615280474,-0.0125453137806808,"DTE","Clavet_2024",14.6802068418281
"L031",14.67504330424,-0.00516353758802879,"DTE","Clavet_2024",14.6802068418281
"L032",14.6651488512805,-0.0150579905475858,"DTE","Clavet_2024",14.6802068418281
