Lentil,Lentil_SNP,PredictedMean,Trait,ENV
L022,7757-1_ACT,3.576138648,lodging,Hunter_2025
L023,7788-3_ACT,3.734615573,lodging,Hunter_2025
L024,7789-1_ACT,3.311333746,lodging,Hunter_2025
L025,8064-1-5_ACT,4.13854401,lodging,Hunter_2025
L026,8086-1-10-bk_ACT,2.637674191,lodging,Hunter_2025
L027,8579-1-17_ACT,2.875305272,lodging,Hunter_2025
L028,8619-1-10_ACT,3.727883148,lodging,Hunter_2025
L029,8622-1-1-bk_ACT,2.868437096,lodging,Hunter_2025
L030,8666-1-3-bk_ACT,3.040652983,lodging,Hunter_2025
L031,8996-23_ACT,2.615515982,lodging,Hunter_2025
L032,9041-6_ACT,3.665630002,lodging,Hunter_2025
L033,9059-1-2_ACT,3.588117111,lodging,Hunter_2025
L034,9115-5_ACT,3.650094771,lodging,Hunter_2025
L035,9159-3-1_ACT,2.103513089,lodging,Hunter_2025
L036,9184-1_ACT,3.862976656,lodging,Hunter_2025
L037,9225-2-8_ACT,3.410262413,lodging,Hunter_2025
L038,9320-3-MY_ACT,4.059063766,lodging,Hunter_2025
L039,9370-2_ACT,2.746704375,lodging,Hunter_2025
L040,9378-1-3_ACT,2.566356658,lodging,Hunter_2025
L041,9430-3_ACT,2.073533442,lodging,Hunter_2025
L042,9747-1-LG_ACT,2.981010804,lodging,Hunter_2025
L043,9885-1-1_ACT,2.838213353,lodging,Hunter_2025
L044,10121-1_ACT,3.020929384,lodging,Hunter_2025
L045,10121T-3-60_ACT,3.111770382,lodging,Hunter_2025
L046,10137T-1-58_ACT,2.775036264,lodging,Hunter_2025
L047,10222-3-1_ACT,3.645097358,lodging,Hunter_2025
L048,10236-2-SG_ACT,2.926377868,lodging,Hunter_2025
L049,10250-1-3_ACT,2.319315447,lodging,Hunter_2025
L050,11801S-1-54-gr_ACT,2.430795513,lodging,Hunter_2025
L051,12166T-2-57_ACT,2.857677201,lodging,Hunter_2025
L052,12176T-2-50_ACT,3.109206559,lodging,Hunter_2025
L053,12356T-1-60_ACT,3.416223125,lodging,Hunter_2025
L054,12240T-2-49-bk_ACT,2.548108653,lodging,Hunter_2025
L055,IBC_768_ACT,3.615758821,lodging,Hunter_2025
L056,IBC_1006-7_ACT,3.949673392,lodging,Hunter_2025
L057,IBC_1113_ACT,2.860364007,lodging,Hunter_2025
L058,IBC_1266-1_ACT,4.192461202,lodging,Hunter_2025
L059,IBC_1268_ACT,3.687770022,lodging,Hunter_2025
L060,IBC_1273-2_ACT,2.611213869,lodging,Hunter_2025
L061,IBC_1305_ACT,2.421201376,lodging,Hunter_2025
L062,IBC_1307_ACT,2.671898798,lodging,Hunter_2025
L063,IBC_1310_ACT,2.529885005,lodging,Hunter_2025
L064,IBC_1311_ACT,3.297743014,lodging,Hunter_2025
L065,IBC_1314_ACT,2.589876554,lodging,Hunter_2025
L066,IBC_1317_ACT,2.91095981,lodging,Hunter_2025
L067,IBC_1319_ACT,3.37752662,lodging,Hunter_2025
L068,IBC_1320_ACT,2.064389728,lodging,Hunter_2025
L069,IBC_1321_ACT,2.289190635,lodging,Hunter_2025
L070,IBC_1323_ACT,2.220406426,lodging,Hunter_2025
L071,IBC_1324_ACT,3.818371858,lodging,Hunter_2025
L072,IBC_1344_ACT,3.322643986,lodging,Hunter_2025
L073,2462_ACT,3.542544682,lodging,Hunter_2025
L074,2464_ACT,3.906656383,lodging,Hunter_2025
L075,2471-6_ACT,3.739697237,lodging,Hunter_2025
L076,3110_ACT,3.290338377,lodging,Hunter_2025
L077,3114_ACT,2.186282777,lodging,Hunter_2025
L078,IBC_112_ACT,3.633639733,lodging,Hunter_2025
L079,IBC_145_ACT,3.390035231,lodging,Hunter_2025
L080,IBC_187_ACT,2.95239164,lodging,Hunter_2025
L081,IBC_188_ACT,4.054898852,lodging,Hunter_2025
L082,IBC_194_ACT,3.676544322,lodging,Hunter_2025
L083,IBC_289_ACT,3.452337813,lodging,Hunter_2025
L084,IBC_479_ACT,2.079998753,lodging,Hunter_2025
L085,IBC_550_ACT,2.567688295,lodging,Hunter_2025
L086,IBC_586_ACT,3.481013288,lodging,Hunter_2025
L087,IBC_597_ACT,3.002719799,lodging,Hunter_2025
L088,IBC_697_ACT,3.158991221,lodging,Hunter_2025
L089,IBC_839_ACT,2.905829416,lodging,Hunter_2025
L090,IBC_937_ACT,3.401949879,lodging,Hunter_2025
L091,IBC_975_ACT,2.599937749,lodging,Hunter_2025
L092,IBC_978_ACT,3.491439873,lodging,Hunter_2025
L093,IBC_929R_ACT,1.883094537,lodging,Hunter_2025
L094,IBC_929_ACT,2.42470902,lodging,Hunter_2025
L095,IBC_1014-SG_ACT,2.732458348,lodging,Hunter_2025
L096,IBC_1199_ACT,3.143315756,lodging,Hunter_2025
L097,IBC_1235_ACT,1.777369495,lodging,Hunter_2025
L098,IBC_1264-1_ACT,2.855428457,lodging,Hunter_2025
L099,IBC_1267_ACT,3.301595212,lodging,Hunter_2025
L100,IBC_1269_ACT,3.235121413,lodging,Hunter_2025
