Genotype,dev_year,cot_color,Hunter2024_DTE,Hunter2024_DTF,Hunter2024_VegP,Hunter2024_DTM,Hunter2024_RepP,Hunter2024_lodging,Hunter2024_YLD,Hunter2024_PRT,Clavet2024_DTE,Clavet2024_DTF,Clavet2024_VegP,Clavet2024_DTM,Clavet2024_RepP,Clavet2024_lodging,Clavet2024_YLD,Clavet2024_PRT,Clavet2025_DTE,Clavet2025_DTF,Clavet2025_VegP,Clavet2025_lodging,Clavet2025_YLD,Clavet2025_PRT,Clavet2025_DS,Hunter2025_DTE,Hunter2025_DTF,Hunter2025_VegP,Hunter2025_DTM,Hunter2025_RepP,Hunter2025_lodging,Hunter2025_YLD,Hunter2025_PRT,Hunter2025_DS
L015,2024,red,12.75176389,45.58498413,31.69525878,79.64636383,34.0468809,2.990581509,584.6037109,25.73353392,14.82460647,52.41726617,37.4588267,86.23867472,33.99902767,2.39552571,592.559416,25.36750944,11.32226252,52.42820476,41.08892504,2.21589285,1186.032338,24.39717421,1.796431894,16.00193682,51.67249099,35.76536201,91.56361087,39.4850873,2.674800401,1267.837589,24.46415563,1.201558788
L016,2025,red,12.80486435,46.71741343,32.72737627,80.87392633,34.13666601,3.799141964,521.451783,25.0445532,14.725664,52.72879445,37.99515624,86.16004289,33.65952062,3.711034833,541.6834433,24.58599727,11.12791033,55.0080745,43.89560976,2.485615405,1260.702514,23.5863047,1.603089103,16.0192679,53.69112656,37.71108402,92.91956292,39.01360144,3.001692934,1578.899259,24.14724416,1.214899301
L017,2024,red,12.8813214,46.32971246,32.19567461,81.35047946,34.9966889,3.372347544,677.0729948,25.367178,14.75875264,52.65262278,37.8596241,87.50904485,35.03503622,3.024885776,665.9261411,24.87645762,11.00931354,55.45165032,44.47261595,2.011767079,1352.95682,24.29783366,1.75495475,16.01781323,53.70299655,37.72027333,94.53683,40.46711255,2.614477437,1715.180844,25.17094031,1.179463638
L018,2024,yellow,12.73068383,47.29098064,33.359423,80.29616995,33.17371881,3.623669721,582.7156137,24.8194581,14.75642798,52.86672025,38.0725675,86.82905784,34.16924441,3.306358442,674.1574278,24.5850309,11.28677909,54.89602057,43.59076765,2.79292541,1152.86603,22.91187951,1.704571209,16.0775318,53.55694899,37.39944082,93.86256802,40.01238763,2.786805568,1682.8087,24.56608044,1.215268784
L019,2023,yellow,12.71651152,49.14062931,35.41269618,80.61109614,31.50762362,4.419833166,316.6786441,26.52227452,14.74835214,53.77196093,38.97350786,84.77798411,31.22835771,4.319804948,391.5413412,26.24638408,10.88241839,55.94754358,45.11399438,2.489601769,1319.190598,24.40414897,1.243144188,16.01056188,54.62436549,38.6755814,93.45064691,38.5648201,3.130608431,1564.279299,24.85237936,1.19612162
L020,2025,yellow,12.74601008,49.78404186,35.85311185,81.30542058,31.6539208,3.971352404,478.6263273,25.30947907,14.81035037,55.29427281,40.33702163,88.33860865,33.25208394,3.288510408,510.4669681,24.92883543,11.21855583,58.44594307,47.22678562,2.315367913,1185.675686,22.53109109,1.500673156,15.99456033,55.6954878,39.79353773,94.67743386,38.81421737,3.008083289,1653.069128,24.05391925,1.198681453
L021,2024,red,12.59000497,47.71213289,34.12260496,79.17615948,31.53583524,2.588299038,559.0677283,25.73357177,14.84373901,53.19107127,38.1659164,85.43849679,32.45947986,2.380768636,644.5692274,25.0100199,11.25559279,54.72963709,43.47319866,1.611231746,1318.913364,24.33411784,1.40671638,16.02964573,53.21856787,37.21415938,92.70902215,39.20411252,2.642315945,1693.129869,25.07835252,1.170750975
L022,2024,yellow,12.84877513,49.60407438,35.57988653,84.46412886,34.84949123,4.122772913,502.399769,24.31286889,14.71779448,55.28275332,40.55516683,89.60227154,34.48844469,3.932039835,449.6892424,23.96577922,11.08566914,57.70594285,46.66032384,3.274794236,1250.989783,23.47985532,1.298090954,15.99827545,55.69481386,39.78910895,94.52489244,38.75495839,3.682283603,1487.456254,23.48846282,1.279856233
L023,2026,yellow,12.83416412,47.63738388,33.56776328,83.23564872,35.55537269,4.375283381,481.4610256,24.21274599,14.76403124,53.40876492,38.6064032,88.25772815,34.99036538,4.605649817,474.9783256,23.84729581,10.79767251,55.44411691,44.7362829,3.422826251,1187.600651,22.24884575,1.594804542,15.94372678,53.43818478,37.70336626,93.15177899,39.34428962,3.824222812,1324.402228,22.84145735,1.287678264
L024,2024,green,12.81703584,48.73427266,34.74817144,85.05594997,36.24613111,4.292786105,393.5109878,24.40680604,14.76498789,53.62568084,38.82395405,90.19161508,36.7280322,4.617428465,457.8576601,23.62090184,10.97243089,57.1918257,46.25930886,2.851941295,1104.186953,22.06028886,1.106701758,15.99312667,55.00176254,39.07692291,95.77353742,40.44452215,3.429190419,1433.262656,22.90247906,1.139888619
