Genotype,dev_year,cot_color,Hunter2024_DTE,Hunter2024_DTF,Hunter2024_VegP,Hunter2024_DTM,Hunter2024_RepP,Hunter2024_lodging,Hunter2024_YLD,Hunter2024_PRT,Clavet2024_DTE,Clavet2024_DTF,Clavet2024_VegP,Clavet2024_DTM,Clavet2024_RepP,Clavet2024_lodging,Clavet2024_YLD,Clavet2024_PRT,Clavet2025_DTE,Clavet2025_DTF,Clavet2025_VegP,Clavet2025_lodging,Clavet2025_YLD,Clavet2025_PRT,Clavet2025_DS,Hunter2025_DTE,Hunter2025_DTF,Hunter2025_VegP,Hunter2025_DTM,Hunter2025_RepP,Hunter2025_lodging,Hunter2025_YLD,Hunter2025_PRT,Hunter2025_DS
L054,2027,red,12.83312859,48.23939068,34.21262013,79.08992787,30.83011977,2.711125774,392.4816949,25.88268386,14.74055418,53.83878347,39.10212641,84.88961655,31.30372145,2.257756536,608.9317334,25.78510622,10.89811953,54.88890965,44.05354785,1.976098631,1138.587428,24.30663457,1.564030311,16.05740053,53.7722576,37.68843456,91.51395342,37.65470047,2.657767743,1327.341814,25.0831049,1.222737833
L055,2014,yellow,12.87550404,47.07166175,32.96231052,83.88442449,36.86709955,4.240492599,416.0239936,25.21710765,14.75614538,52.86950074,38.0857473,88.22661738,35.53078112,4.681472988,459.8436527,24.70560738,10.69623202,55.69269134,45.10379199,3.43989139,959.3199016,22.5990612,1.523242906,15.93773676,54.15782999,38.43968906,94.82874332,40.37198748,3.74857381,1222.420612,24.06228604,1.254686878
L056,2016,green,12.87620116,47.09240876,32.96533037,85.2396439,38.17207278,4.105208736,352.1533019,25.74915922,14.74400003,53.34594633,38.58089092,89.46017974,36.36187399,3.5342335,448.1706093,25.33952307,10.8010956,55.87432084,45.16603601,3.592374659,983.0454109,23.95046347,1.385754269,15.97396018,54.65561767,38.83854368,96.68955179,41.50865906,4.02785953,1111.159196,24.75699846,1.098017416
L057,2017,yellow,12.52519151,47.24364699,33.65399589,78.38505716,31.23986085,3.019639311,435.2708792,24.988862,14.85113933,53.77103742,38.7318575,85.285794,31.80338967,3.043595169,463.1152873,24.78243599,11.44531788,54.93203659,43.41335942,2.14727567,1127.569921,23.1261366,1.675890146,16.02793801,53.3324361,37.32201369,92.73392205,39.07125539,2.876074296,1558.84891,24.00768095,1.194650147
L058,2018,green,12.19949849,50.75744772,37.68407852,84.03460933,33.34323544,3.153648979,227.0908388,25.65004568,14.91397095,55.43705309,40.22102721,89.45707142,34.2859791,1.990942369,210.0845988,25.11696024,11.15056461,57.85756292,46.72614735,3.881808717,897.7935323,24.04024835,1.166919764,15.97627017,55.45487038,39.61379573,94.04595716,38.52918488,4.363723144,898.4591704,24.80135542,1.112717241
L059,2018,green,12.40422335,49.01855501,35.69249553,84.42548377,35.35621222,3.711004376,419.6792857,23.95160252,14.76507587,54.24792164,39.41821632,89.87689972,35.77926643,3.42687098,410.9821994,24.02724194,11.26235107,56.4184234,45.16615461,3.666827128,1008.67318,22.43453516,1.232757552,16.02294827,54.991768,38.98249522,96.0362301,40.73332738,3.778194635,1294.664535,23.22936396,1.176665629
L060,2018,red,12.64244641,43.93821245,30.32710028,78.98846682,34.97736515,3.105991458,456.3543768,26.04929518,14.82907047,52.24892072,37.26043717,85.99533231,33.91212213,2.716992318,436.0989879,26.1044562,11.28556255,51.95130548,40.62858816,2.200682137,1248.683287,25.24080523,1.558662092,16.06053583,52.31046307,36.22115825,93.53316319,40.79500484,2.676460512,1459.332167,25.85475021,1.156979337
L061,2019,red,12.70996038,48.01880063,34.16362534,83.68261388,35.77616627,3.363201736,549.8962854,25.40753142,14.78384944,54.06278053,39.1695719,88.6226868,34.73086002,2.59353299,528.7823828,25.05338217,11.20192245,56.04736402,44.85415828,2.333163895,1195.278225,23.01087739,1.556008233,16.02671486,54.88232054,38.86798562,94.53487336,39.41289603,2.510897384,1632.869766,24.24126007,1.192489255
L062,2020,red,12.67748716,46.13614541,32.41293315,83.85891721,37.62335535,3.970002337,535.7740817,25.57414948,14.75259486,53.09112563,38.29968985,89.24084627,36.3087518,3.249021846,520.5163097,25.24115817,11.23906396,55.68008169,44.43624832,2.348731923,1263.593392,24.89994371,1.320987388,15.97356607,54.40560033,38.58084821,95.64071988,40.74110703,2.811326493,1576.594317,25.34385368,1.204493272
L063,2019,red,12.77297265,45.46355322,31.49880133,81.86683791,36.32993961,3.4096161,524.8799041,25.82231355,14.76225999,52.43217341,37.62055382,86.75184851,34.49787202,2.792697019,476.2748428,25.42568855,11.05775363,54.03876306,43.01676831,2.499977123,1152.883669,24.25524064,1.549687545,16.00337189,53.18514588,37.27237386,93.33414075,39.84599648,2.656961346,1480.68721,25.2764024,1.200271493
L064,2019,red,12.78515759,45.70030329,31.6258367,79.72617163,33.87477485,3.264803753,446.6318499,26.81696676,14.79932888,52.52062862,37.61400279,87.10240375,34.74427869,3.241206835,487.3131528,26.5691091,11.10113124,54.6537139,43.59123245,2.914606425,1144.030784,26.33444755,1.589108439,15.9963147,53.64508439,37.7386148,93.0192021,39.08961251,3.369047212,1179.138405,27.14598676,1.171851585
L065,2019,red,12.82346016,46.97524177,32.8775762,82.52937479,35.55660146,3.47978839,536.7624714,24.96734169,14.76308011,53.07281462,38.27150503,87.78815791,34.89401681,2.742388849,681.9382758,24.5937384,10.89744861,54.77908602,43.93636698,1.61263911,1395.972071,23.61415774,1.256605762,16.00520616,53.67836798,37.75278868,94.89091564,40.78331928,2.736704308,1664.667702,24.25759118,1.233346906
L066,2019,yellow,12.63319032,47.93830043,34.27879697,80.17423712,32.35808796,3.34994665,437.2588467,25.11858393,14.74358584,54.75761842,39.96818955,86.64933389,32.11502866,2.373758141,400.0965344,24.63796451,11.23056028,55.74901535,44.50982216,2.480637945,1011.403148,23.52970388,1.520225724,15.98453907,55.32914278,39.44394961,94.72260432,39.21443423,2.982767183,1435.876898,24.29727561,1.176238565
L067,2019,yellow,12.838101,45.8429406,31.7782067,76.81601752,30.98450015,3.442293843,337.1961004,24.9125466,14.75920491,52.56944149,37.75716793,83.28744612,30.93395596,3.519464126,406.821985,25.15972983,11.37343387,53.4510687,42.04568864,3.408247262,909.3589407,24.48134287,2.238594608,16.0316156,52.49791871,36.50689195,92.07448131,39.26420145,3.468216652,1261.281074,24.86499787,1.199255041
L068,2019,yellow,12.81512298,51.64674948,37.66353605,83.75379873,32.14672051,2.538463973,556.454077,25.66668842,14.81354139,55.31720702,40.3743749,89.76859318,34.63708019,1.063488871,606.9230715,24.93405655,11.41509797,58.68884498,47.22662474,1.73105573,1227.840421,24.30715738,1.358559038,16.00825326,55.66250917,39.68894163,96.01104467,40.05970607,2.142962239,1485.0291,24.31961478,1.17865951
L069,2019,yellow,12.70987634,47.73590889,33.96601642,81.28572083,33.55863982,2.974877925,516.0494947,26.18269421,14.75789811,53.11107364,38.34609914,86.39289565,33.47953484,2.161779452,542.6442165,25.62282426,11.33424338,54.55228261,43.191903,1.917279858,1205.333531,25.20348204,1.659833012,16.02917236,52.97721794,36.97302972,93.72562701,40.31438959,2.407698267,1421.63268,25.28865326,1.221958964
L070,2019,yellow,12.71665682,46.70190037,32.71703451,81.41257036,34.81896038,2.556760819,433.067347,25.43941432,14.74596581,52.2498741,37.49733024,87.26262911,35.13215835,1.657305621,457.6760527,25.19733156,11.13037437,52.73122192,41.60591788,1.82995578,1227.688595,24.58180879,1.30145934,16.01951338,51.43411651,35.47733128,94.95609788,42.79777905,2.355555259,1512.03268,24.42212575,1.213031341
L071,2019,green,12.61726601,50.7506605,37.1063537,84.61178249,33.8663,3.020319794,289.7981649,25.61429417,14.75098206,54.79142638,40.00261642,90.15106976,35.56934817,2.065357033,265.4963913,25.21980031,11.10804347,58.06789937,46.9705352,3.14397239,921.2907568,24.03306247,1.21940768,16.00452951,56.78203191,40.85219907,97.71705365,40.64277588,3.90457341,1078.843685,24.69746922,1.099944069
L072,2019,yellow,12.83610424,44.59797846,30.51440825,79.60156535,34.83534138,4.146916766,353.3139625,27.0910152,14.77925647,52.09159367,37.26178353,85.2407794,33.2622166,4.575980986,386.8588647,26.96163206,11.19635763,52.02692237,40.84055449,3.454926617,1071.426332,25.0796661,1.767360126,16.00076991,52.05344147,36.12457073,91.65394019,39.17718863,3.477140367,1216.283004,26.28182582,1.232604817
L073,2006,red,12.73872744,44.21962062,30.3847283,76.76528564,32.40583629,4.609472588,283.3292516,25.90191994,14.76925913,52.57572753,37.75299852,82.80120977,30.52344882,4.406796022,349.8338912,26.67604888,11.0254505,51.78870721,40.80240933,3.486104123,797.5900502,24.95010004,2.255261728,15.98666572,50.91467885,35.06505333,91.2029635,39.77810763,3.633622092,1020.123786,27.06096579,1.248641814
L074,2006,red,12.77568758,43.7991338,29.98372592,79.19499969,35.31985931,3.974892506,450.9973777,26.27445992,14.75487582,52.26176397,37.48244223,83.39235026,31.33519157,4.109355829,348.3601432,26.17639562,11.44511343,51.49132132,39.98509892,3.87777852,839.9140824,24.79404084,1.889051273,16.02373983,51.66790236,35.70027793,91.05667319,38.98674449,4.011853974,973.0809826,25.31553117,1.238669206
L075,2006,yellow,12.82966485,44.41562478,30.37878522,80.28696592,35.65703342,4.496718842,207.6871357,25.64117055,14.83604011,52.32174352,37.32706233,84.29946806,32.12061973,4.664158305,307.6057006,25.5085335,10.81990067,52.59651702,41.89775332,3.633016391,1019.193407,23.20452861,1.861592576,15.97010014,52.03161715,36.21982308,92.19532008,39.74102133,3.841849393,1115.659297,23.93613901,1.265177189
L076,2014,yellow,12.76482608,44.18994274,30.19749578,80.10691052,35.97849429,3.763525636,425.3413259,24.79077596,14.7412912,52.02663848,37.28572646,85.37387199,33.52092889,4.265566308,438.1647978,25.22846759,11.05225671,51.84207042,40.82104539,2.405979551,1177.938568,23.88065114,1.621240949,15.9948551,52.67079604,36.79544726,92.36181966,39.37565242,3.347067781,1377.741902,23.68194056,1.172105142
L077,2007,red,12.85474594,46.31623392,32.27594508,80.67453967,34.32191554,3.181193125,620.5406984,25.1497896,14.76163176,52.21537924,37.42036711,85.56903182,33.52470669,2.340835467,714.5284721,24.85938294,11.07134468,52.73144769,41.69639616,1.659190708,1354.951328,23.82611496,1.422798935,16.01874166,51.46356233,35.49322231,92.67332952,40.63019851,2.322536398,1509.188347,24.42446925,1.213630529
L078,2008,yellow,12.72787687,47.28097646,33.41342266,78.89194385,31.70713623,4.54971827,228.7030855,25.26654052,14.76334152,52.53052226,37.71121302,84.21184306,31.87460197,4.524932227,321.5172722,25.75361367,10.98514615,54.33919541,43.39621531,2.987776694,1138.875676,24.12189243,1.982576946,16.0345011,52.89136786,36.87783199,91.09479026,38.03582587,3.723884279,1320.150622,24.21988663,1.296914109
L079,2008,yellow,12.81127262,47.52227533,33.49351258,83.36091622,35.82101659,4.332094561,374.31196,25.2517699,14.73947397,52.98596474,38.23374212,89.22355004,36.33751315,4.536531042,461.2400601,25.32425035,10.75870259,56.16438985,45.46086858,3.365521418,836.7336211,23.89973644,1.736347476,15.97258315,53.79831578,37.96618873,94.66185088,40.45487667,3.453239856,1012.723948,24.40631525,1.134168706
L080,2009,red,12.76690965,45.02075691,31.1376841,81.83748734,36.73512972,4.133629508,367.3560537,24.60505476,14.75730188,52.93667452,38.16420229,87.26883773,34.5509545,4.447210546,424.1903262,24.65666132,11.08250622,53.03821155,42.00467383,3.488075894,1094.866164,23.02291411,1.575739208,16.03535846,52.83555296,36.79611103,93.56027239,40.2324151,3.039583797,1382.11405,24.99323984,1.210018123
L081,2008,yellow,12.84542282,48.2606647,34.14339292,77.94396609,29.86525336,4.853007822,274.2727612,24.97531241,14.75189943,53.0530425,38.26890055,84.395627,31.5683234,4.295813764,388.916591,25.60313253,11.01301297,54.98255459,44.00324894,3.360715274,1057.075054,23.96071141,1.824099761,16.01422252,52.88876729,36.95483675,91.89741141,38.81432591,4.139814651,1314.488249,24.58574205,1.192382286
L082,2009,yellow,12.87210393,44.50540343,30.41649204,82.54209531,37.81148388,4.31359559,421.9673887,26.02682747,14.75868381,52.02505967,37.24962547,86.93349155,35.08036759,4.792563539,492.4422732,25.28161749,10.70848448,53.62656945,43.0164295,3.825316478,888.991852,23.72625857,2.160278186,15.9815138,52.26842685,36.41432576,92.23047321,39.66517421,3.756022784,1062.872752,24.89164455,1.254685506
L083,2010,red,12.75169694,46.57311601,32.61752305,80.47757577,34.03112933,3.621520318,529.2995665,25.45981185,14.75403138,52.50807373,37.74063542,86.34194504,34.02220554,2.329133101,577.788861,25.13757311,11.29554349,54.45822247,43.15661717,2.621134212,1289.61701,23.94268187,1.440153955,15.9702758,53.42003008,37.59180857,93.63424798,39.84121172,3.557307156,1382.864071,25.09858404,1.242127016
L084,2013,red,12.77544371,47.43646525,33.38844523,81.96024175,34.46233644,3.730879162,582.5691232,25.09725824,14.74495902,53.02046108,38.26151628,87.91586145,35.08022633,1.848319198,576.3093258,25.14058988,11.04491856,55.15336289,44.14741517,1.995276482,1294.348065,24.0501972,1.557756668,16.03179875,54.52582876,38.50569353,92.82003485,38.24347157,2.182138063,1221.346933,22.24256967,1.287700597
L085,2014,red,12.76618368,45.90109965,31.94021873,80.58497089,34.6600207,3.4772773,710.6005165,25.19560477,14.73211964,51.98582446,37.26738631,85.89048462,34.07223253,3.268298259,595.0185854,24.95089159,10.97322524,54.16294838,43.23812288,2.975925951,1042.110415,23.13729479,1.930027021,15.97020184,52.64767818,36.83606884,92.48379408,39.49701899,2.674666562,1664.916371,24.50774809,1.224213216
L086,2013,green,12.75467948,47.38862475,33.50002228,84.12815596,36.63131253,4.308768414,350.9287057,24.1792537,14.73918751,53.10866758,38.36668093,88.8282939,35.80065865,4.378274329,412.2303093,24.39473843,11.01577739,55.54506638,44.55309697,3.723495226,901.2545463,22.47690719,1.223814938,16.0089209,53.36645541,37.44523155,92.70138907,38.96340559,3.581700176,1004.239234,23.3992628,1.146158452
L087,2013,red,12.76510336,46.20285617,32.25957842,82.19651597,35.95869195,3.759403734,671.5428151,25.01430983,14.75638436,51.95329449,37.17948036,87.37225385,35.55548932,3.05021913,715.4726097,24.93485759,11.01200902,54.04907304,43.05445123,2.443025523,1176.016832,24.08738605,1.599357819,15.99355072,52.78314339,36.89506973,93.67732674,40.46649743,3.096898183,1284.973821,24.53355229,1.188559414
L088,2007,red,12.78126911,43.9522758,29.99713911,79.09666186,35.10176697,3.239245413,358.274284,25.81671695,14.75059212,52.38564995,37.59799314,84.18565991,32.07255863,3.584280017,412.7864717,26.23303169,11.14680837,52.00966667,40.8745994,2.788654316,992.7209066,24.8273165,2.092661431,15.99385966,51.92112572,36.06165468,92.14663583,39.76167345,3.227277718,1194.684847,25.46597732,1.243193297
L089,2016,green,12.64771084,48.11594122,34.33349435,82.43797185,34.29146024,3.396241243,411.4583781,24.27337718,14.71932441,53.33875781,38.63135935,86.04215716,32.89714819,2.955657796,470.0686762,24.56228989,11.04034871,55.39880101,44.41151025,2.819746289,1004.182056,23.09473729,1.177576736,16.00498457,53.20551463,37.28834838,92.93837798,39.35354662,3.064633069,1069.202749,22.802236,1.184372189
L090,2016,yellow,12.80419283,45.65541644,31.73569524,85.63679657,39.80283432,4.045181534,396.0486219,26.04691139,14.74134522,53.12468182,38.36025456,90.23290802,37.20794842,4.126800649,504.6584242,24.96344802,10.91374124,53.97856452,43.13363352,2.88322944,997.8313009,22.91944784,1.795738868,15.96462015,53.95683999,38.1500554,96.51975192,41.97514982,3.484164821,1215.110179,23.68622433,1.154457444
L091,2016,red,12.8452494,45.8070183,31.72232454,78.66548573,33.01273737,3.283984918,565.0722366,25.00726772,14.82181919,52.32717951,37.37425151,84.84148897,32.7009544,2.880684428,640.9087575,24.91372149,11.32376304,53.8756916,42.56616728,2.366504834,1201.971432,23.31574784,1.738268532,16.08771785,52.34398351,36.15035686,92.75013847,39.94256605,2.671816595,1639.756177,24.31308177,1.20469909
L092,2017,red,12.76525996,46.11015098,32.14500185,78.63507821,32.54760276,4.084024415,417.4893305,24.8202642,14.74117462,51.98141244,37.23407001,83.40395807,31.67160341,3.76759069,492.0280438,25.21086778,10.8720481,54.3039691,43.49780655,3.113227779,1051.256364,23.69851554,2.36938275,15.97696186,51.93033647,36.10821488,91.53936013,39.16937236,3.599824804,1295.26536,24.59232143,1.22294059
L093,2018,red,12.83564681,49.51551793,35.43651381,81.70310416,32.15061731,3.090168381,586.5123403,25.53266351,14.75805956,54.27779731,39.47968504,88.56955504,34.51388023,1.499120332,679.4867628,25.1082615,11.31353663,57.07873691,45.73038909,1.711206631,1278.813974,24.7177674,1.586500482,15.99745006,55.03660207,39.12087335,94.74086201,39.457562,1.992942179,1560.183235,24.98216698,1.129487066
L094,2017,yellow,12.859329,49.9512999,35.86120897,81.92473343,31.94597921,3.620910367,598.7542129,25.48946034,14.80178025,54.88595348,39.97577352,87.93108213,33.37019471,2.188982286,677.744135,24.89472824,11.28359046,57.37733566,46.0571237,2.041413786,1290.421208,24.38790529,1.332266905,16.02763136,56.1867058,40.17186168,94.63125322,38.43251512,2.487812287,1583.889338,24.93860243,1.190104757
L095,2020,yellow,12.61437653,47.52318372,33.77914351,79.75387889,32.23689976,3.881563521,501.7338626,24.7671023,14.7612341,53.0676011,38.24633502,85.22746415,32.38406326,3.357488293,508.8712655,24.63815068,11.12614331,55.19732366,44.10666238,2.713768987,1158.718789,23.19297142,1.656401957,16.00179247,53.07528773,37.15397242,93.06834512,39.5661269,2.884212819,1582.530953,24.31358494,1.215810649
L096,2020,yellow,12.82183597,47.39868512,33.33165202,83.85863891,36.43803928,4.36376277,281.7804215,26.41511596,14.7544411,52.9556485,38.1681628,88.79062267,35.91468709,4.177929172,437.1877996,26.21248495,10.82537802,55.4760007,44.75462481,2.758458684,1000.826678,24.54679332,1.46079212,15.97757648,54.09238569,38.28448465,94.70601181,40.28078171,3.241454066,1214.708656,24.7450241,1.203957742
L097,2019,red,12.66788392,48.33450167,34.58806516,81.00636434,32.7477168,3.246365234,606.8597709,25.41983776,14.74775878,53.1413178,38.38626045,86.23532373,33.34093476,2.188779235,610.8534352,24.84903613,11.09177236,55.47036973,44.40846352,1.695340918,1314.061103,24.34492156,1.714554615,16.00096137,53.36920954,37.41630398,94.92367262,41.08079822,1.923714549,1632.601935,24.82131509,1.190835814
L098,2019,red,12.80015294,48.02637296,34.0359401,82.19592425,34.22406521,3.906843007,659.2405168,23.82903748,14.76659435,53.66597024,38.85196258,88.18514125,34.76202555,3.541110968,711.6915382,23.52291325,11.03506801,55.9235391,44.94606307,2.520866706,1447.972586,23.06802348,1.30138886,16.00436331,54.16041676,38.22904301,93.8343859,39.39186174,2.910258747,1691.151908,23.10799085,1.212703541
L099,2019,green,12.72557954,46.19363471,32.30057983,83.35638174,37.15190316,4.14010323,420.695906,23.42949046,14.73080925,52.075835,37.36924453,86.0608219,34.11595275,4.231817763,372.0874623,23.49206527,11.1436716,55.00569951,43.89129286,2.806012487,1014.208054,22.76357942,1.089062542,16.01455095,53.16971248,37.21244079,94.72125287,41.11126112,3.371224498,1131.003952,22.69833676,1.106580396
L100,2019,green,12.76202851,46.8178797,32.85509833,81.67600355,34.75355191,4.221386287,370.8586948,24.44821098,14.87061584,52.71248296,37.63352395,85.74733681,33.18618607,4.235591939,440.7987814,24.71818836,11.36168832,55.26341945,43.85965745,2.632585213,1020.821595,23.247201,1.247346782,16.01089042,53.60546172,37.66143635,94.40541797,40.44033863,3.30740945,1218.008062,23.66730486,1.163845732
